Year,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops,Net,Straw,Mustard,Saffron
1209,0.29,0.21,0.1,0.22,,,,,,,,
1210,,,,,,,,,,,,
1211,0.36,0.24,0.12,0.35,,,,,,,,
1212,0.28,0.18,0.11,0.25,,,,,,,,
1213,,,,,,,,,,,,
1214,0.24,0.16,0.12,0.2,,,,,,,,
1215,,,,,,,,,,,,
1216,0.3,0.18,0.12,0.33,,,,,,,,
1217,0.46,,,,,,,,,,,
1218,0.52,0.38,0.18,0.43,,,,,,,,
1219,0.52,0.34,0.18,0.4,,,,,,,,
1220,0.39,0.24,0.14,0.34,,,,,,,,
1221,0.54,0.33,0.16,0.39,,,,,,,,
1222,,,,,,,,,,,,
1223,0.22,,,,,,,,,,,
1224,0.29,0.17,0.1,0.22,,,,,,,,
1225,0.61,0.39,0.18,0.37,,,,,,,,
1226,0.5,0.36,0.19,0.72,,,,,,,,
1227,0.58,0.36,0.2,0.53,,,,,,,,
1228,,,,,,,,,,,,
1229,,,,,,,,,,,,
1230,,,,,,,,,,,,
1231,0.46,,,,,,,,,,,
1232,0.43,0.32,0.18,0.46,,,,,,,,
1233,0.38,0.27,0.18,0.4,,,,,,,,
1234,,,,,,,,,,,,
1235,0.38,,,,,,,,,,,
1236,0.38,0.21,0.16,0.3,,,,,,,,
1237,0.42,0.3,0.22,0.39,,,,,,,,
1238,,,,,,,,,,,,
1239,,,,,,,,,,,,
1240,,,,,,,,,,,,
1241,,,,,,,,,,,,
1242,,,,,,,,,,,,
1243,,,,,,,,,,,,
1244,,,,,,,,,,,,
1245,0.25,0.16,0.12,0.25,,,,,,,,
1246,0.35,0.22,0.16,0.29,,,,,,,,
1247,0.65,0.42,0.25,0.62,,,,,,,,
1248,0.62,0.47,0.26,0.69,,,,,,,,
1249,0.34,0.22,0.15,0.27,,,,,,,,
1250,,,,,,,,,,,,
1251,0.35,0.33,0.46,,,,,,,,,
1252,0.36,0.24,0.19,0.33,,,,,,,,
1253,0.54,0.43,0.27,0.6,,,,,,,,
1254,0.35,0.21,0.14,0.29,,,,,,,,
1255,0.31,0.19,0.14,0.29,,,,,,,,
1256,,,,,,,,,,,,
1257,0.75,0.52,0.26,0.72,,,,,,,,
1258,0.85,0.54,0.29,0.75,,,,,,,,
1259,,,,,,,,,,,,
1260,0.45,,,,,,,,,,,
1261,0.47,,,,,,,,,,,
1262,0.51,,,,,,,,,,,
1263,0.44,0.32,0.22,0.44,,,,,,,,
1264,0.42,,,,,,,,,,,
1265,0.47,0.37,0.2,0.44,11.09,,,,,,,
1266,0.46,0.31,0.17,0.36,,,,,,,,
1267,0.52,,,,,,,,,,,
1268,0.4,0.27,0.17,0.28,,,,,,,,
1269,0.54,0.39,0.27,0.53,,,,,,,,
1270,0.61,0.34,0.27,0.6,,,,,,,,
1271,0.85,0.45,0.22,0.62,,,,,,,,
1272,0.85,0.61,0.29,0.83,,,,,,,,
1273,0.61,0.46,0.26,0.67,,,,,,,,
1274,0.77,0.51,0.29,0.75,,,,,,,,
1275,0.8,0.54,0.29,0.64,,,,,,,,
1276,0.63,0.4,0.27,0.44,7.37,,,,,,,
1277,0.81,0.54,0.32,0.79,,,,,,,,
1278,0.57,0.43,0.26,0.6,,,,,,,,
1279,0.52,0.37,0.24,0.42,6.0,,,,,,,
1280,0.63,0.4,0.22,0.49,,,,,,,,
1281,0.61,0.37,0.22,0.48,,,,,,,,
1282,0.77,0.39,0.28,0.61,,,,,,,,
1283,0.77,0.51,0.26,0.57,,,,,,,,
1284,0.76,0.5,0.26,0.72,,,,,,,,
1285,0.52,0.35,0.22,0.46,5.0,,,,,,,
1286,0.65,0.44,0.27,0.51,4.39,,,,,,,
1287,0.51,0.37,0.24,0.48,,,,,,,,
1288,0.32,0.23,0.17,0.26,,,,,,,,
1289,0.36,0.27,0.19,0.3,,,,,,,,
1290,0.56,0.37,0.24,0.47,,,,,,,,
1291,0.74,0.46,0.29,0.63,,,,,,,,
1292,0.65,0.45,0.25,0.63,,,,,,,,
1293,0.69,0.45,0.28,0.46,,,,,,,,
1294,0.96,0.54,0.26,0.7,,,,,,,,
1295,1.01,0.61,0.32,1.07,8.0,,,,,,,
1296,0.98,0.67,0.26,0.88,,,,,,,,
1297,0.61,0.41,0.19,0.63,,,,,,,,
1298,0.75,0.5,0.31,0.67,,,,,,,,
1299,0.62,0.57,0.31,0.62,,,,,,,,
1300,0.62,0.44,0.26,0.51,,,,,,,,
1301,0.59,0.37,0.21,0.39,,,,,,,,
1302,0.58,0.37,0.21,0.39,,,,,,,,
1303,0.53,0.27,0.22,0.4,,,,,,,,
1304,0.46,0.34,0.18,0.44,,,,,,,,
1305,0.64,0.43,0.24,0.58,,,,,,,,
1306,0.6,0.45,0.24,0.63,6.0,,,,,,,
1307,0.52,0.4,0.23,0.53,5.0,,,,,,,
1308,0.65,0.44,0.25,0.48,,,,,,,,
1309,0.82,0.5,0.25,0.68,,,,,,,,
1310,0.88,0.58,0.34,0.84,,,,,,,,
1311,0.93,0.53,0.35,0.68,,,,,,,,
1312,0.58,0.43,0.25,0.53,,,,,,,,
1313,0.57,0.41,0.28,0.48,,,,,,,,
1314,0.63,0.45,0.28,0.55,,,,,,,,
1315,0.79,0.54,0.32,0.56,,,,,,,,
1316,1.75,1.05,0.79,1.61,4.95,,,,,,,
1317,1.72,1.12,0.47,1.5,,,,,,,,
1318,0.9,0.62,0.31,0.83,3.33,,,,,,,
1319,0.48,0.33,0.22,0.36,,,,,,,,
1320,0.59,0.39,0.22,0.48,,,,,,,,
1321,0.71,0.52,0.33,0.48,,,,,,,,
1322,1.47,0.87,0.39,0.95,,,,,,,,
1323,1.04,0.64,0.32,0.82,,,,,,,,
1324,0.78,0.43,0.24,0.5,,,,,,,,
1325,0.86,0.59,0.35,0.72,,,,,,,,
1326,0.59,0.42,0.25,0.55,4.67,,,,,,,
1327,0.45,0.32,0.25,0.54,4.98,,,,,,,
1328,0.54,0.33,0.22,0.47,6.18,,,,,,,
1329,0.73,0.37,0.27,0.71,5.42,,,,,,,
1330,0.74,0.44,0.25,0.58,3.54,,,,,,,
1331,0.81,0.5,0.31,0.85,,,,,,,,
1332,0.9,0.6,0.37,0.93,,,,,,,,
1333,0.61,0.4,0.26,0.65,,,,,,,,
1334,0.5,0.34,0.22,,,,,,,,,
1335,0.51,0.35,0.22,0.48,,,,,,,,
1336,0.57,0.39,0.22,0.44,,,,,,,,
1337,0.51,0.35,0.2,0.44,,,,,,,,
1338,0.43,0.26,0.18,0.34,,,,,,,,
1339,0.39,0.2,0.13,0.27,,,,,,,,
1340,0.68,0.39,0.19,0.53,,,,,,,,
1341,0.46,0.33,0.22,0.44,,,,,,,,
1342,0.52,0.36,0.22,0.4,,,,,,,,
1343,0.48,0.36,0.22,0.42,3.08,,,,,,,
1344,0.68,0.44,0.27,0.55,1.84,,,,,,,
1345,0.44,0.34,0.21,0.39,3.33,,,,,,,
1346,0.49,0.36,0.24,0.44,1.38,6.32,,,,,,
1347,0.82,0.51,0.28,0.65,,,,,,,,
1348,0.77,0.52,0.29,0.61,2.07,4.0,,,,,,
1349,0.49,0.26,0.16,0.34,,,,,,,,
1350,0.71,0.45,0.29,0.53,1.67,,,,,,,
1351,0.97,0.7,0.46,0.78,2.42,18.0,,,,,,
1352,1.3,0.8,0.48,0.85,,,,,,,,
1353,0.63,0.61,0.44,0.82,2.42,,,,,,,
1354,0.53,0.7,0.25,0.4,2.59,19.0,,,,,,
1355,0.69,0.32,0.26,0.43,2.76,,,,,,,
1356,0.74,0.5,0.27,0.55,2.42,,,,,,,
1357,0.77,0.56,0.37,0.89,,,,,,,,
1358,0.84,0.58,0.35,0.69,3.03,,,,,,,
1359,0.71,0.67,0.29,0.54,,,,,,,,
1360,0.77,0.59,0.25,0.48,,,,,,,,
1361,0.74,0.69,0.31,0.65,13.33,,,,,,,
1362,0.59,0.81,0.34,0.67,,,,,,,,
1363,0.86,0.77,0.36,0.82,,,,,,,,
1364,1.08,0.74,0.33,0.69,,,,,,,,
1365,0.85,0.71,0.29,0.54,,,,,,,,
1366,0.65,0.66,0.28,0.48,,,,,,,,
1367,0.64,0.72,0.32,0.69,,,,,,,,
1368,0.89,0.57,0.33,0.71,,,,,,,,
1369,0.83,0.6,0.34,0.74,,,,,,,,
1370,1.82,1.12,0.5,1.24,,,,,,,,
1371,0.86,0.76,0.36,0.72,6.0,,,,,,,
1372,0.74,0.51,0.26,0.44,,,,,,,,
1373,0.93,0.58,0.3,0.6,12.0,,,,,,,
1374,0.67,0.45,0.26,0.55,20.0,,,,,,,
1375,1.06,0.6,0.35,0.7,20.0,,,,,,,
1376,0.98,0.64,0.36,0.81,20.0,,,,,,,
1377,0.53,0.47,0.25,0.49,17.49,,,,,,,
1378,0.47,0.37,0.22,0.46,3.73,18.0,,,,,,
1379,0.46,0.32,0.22,0.44,16.0,,,,,,,
1380,0.71,0.39,0.24,0.46,16.0,,,,,,,
1381,0.74,0.41,0.27,0.47,16.0,,,,,,,
