year,month,price,date,country,region,commodity,dataset,grain_price,decade
1841,7,59.5,1841-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,59.5,1840
1841,8,78.0,1841-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,78.0,1840
1841,9,92.5,1841-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,92.5,1840
1841,10,72.5,1841-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,72.5,1840
1841,11,74.0,1841-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,74.0,1840
1841,12,82.0,1841-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,82.0,1840
1842,1,82.0,1842-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,82.0,1840
1842,2,90.0,1842-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,90.0,1840
1842,3,90.0,1842-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,90.0,1840
1842,4,86.5,1842-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,86.5,1840
1842,5,84.0,1842-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,84.0,1840
1842,6,86.0,1842-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,86.0,1840
1842,7,85.0,1842-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,85.0,1840
1842,8,69.0,1842-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,69.0,1840
1842,9,57.5,1842-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,57.5,1840
1842,10,45.0,1842-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,45.0,1840
1842,11,35.5,1842-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,35.5,1840
1842,12,36.0,1842-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,36.0,1840
1843,1,36.5,1843-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,36.5,1840
1843,2,33.5,1843-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,33.5,1840
1843,3,33.5,1843-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,33.5,1840
1843,4,37.5,1843-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,37.5,1840
1843,5,39.0,1843-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,39.0,1840
1843,6,42.0,1843-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,42.0,1840
1843,7,43.0,1843-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,43.0,1840
1843,8,56.0,1843-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,56.0,1840
1843,9,53.0,1843-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,53.0,1840
1843,10,52.0,1843-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,52.0,1840
1843,11,53.0,1843-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,53.0,1840
1843,12,56.0,1843-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,56.0,1840
1844,1,52.5,1844-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,52.5,1840
1844,2,55.0,1844-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,55.0,1840
1844,3,55.0,1844-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,55.0,1840
1844,4,60.0,1844-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.0,1840
1844,5,60.0,1844-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.0,1840
1844,6,59.5,1844-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,59.5,1840
1844,7,69.0,1844-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,69.0,1840
1844,8,62.5,1844-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,62.5,1840
1844,9,47.5,1844-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,47.5,1840
