# Archimedes Model Dataset: US vs UK Log Ratios
# Period: 1850-1960
# 
# Variable Definitions (following Archimedes model specification):
# - wheat_affordability_ratio: -ln(A_US/A_UK) where A = wheat_price/gdp_per_capita
#   Positive values = wheat more affordable in US relative to UK
# - gdp_ratio_us_uk: ln(GDP_US/GDP_UK)
#   Positive values = US GDP larger than UK GDP
# - military_expenditure_ratio_us_uk: ln(S_US/S_UK) where S = global military expenditure share
#   Positive values = US has larger share of global military expenditures than UK
# - military_personnel_ratio_us_uk: ln(S_US/S_UK) where S = global military personnel share
#   Positive values = US has larger share of global military personnel than UK
# - composite_military_ratio_us_uk: average of expenditure and personnel ratios
#   Positive values = US military dominance over UK
# 
# All ratios follow log(US/UK) convention from Archimedes model
# Missing values indicate data not available for that year
#
year,wheat_affordability_ratio,log_wheat_affordability_ratio,gdp_ratio_us_uk,military_expenditure_ratio_us_uk,military_personnel_ratio_us_uk,composite_military_ratio_us_uk
1850,-1.1404896216063691,-1.1404896216063691,-0.31841466543050945,-0.9924421749228785,-2.2587824703356527,-1.6256123226292656
1851,-0.7973459839026834,-0.7973459839026834,-0.2686679895973888,-1.1326367642304211,-2.243744592971112,-1.6881906786007668
1852,-0.6343786103279695,-0.6343786103279695,-0.22319395034731743,-0.8744428129455638,-2.2587824703356527,-1.5666126416406083
1853,-0.9990083131366215,-0.9990083131366215,-0.15048580747469092,-0.6855177157587884,-2.316769727986002,-1.501143721872395
1854,-1.1876032241777195,-1.1876032241777195,-0.1639622432622348,-2.58324779099476,-2.4107986776342782,-2.4970232343145193
1855,-1.5133562768400504,-1.5133562768400504,-0.13145389760800916,-1.8242645571263838,-2.5379612127438897,-2.181112884935137
1856,-1.1392645490579498,-1.1392645490579498,-0.1459621619932552,-1.6661293943985556,-2.687324070585093,-2.1767267324918245
1857,-0.9276262483142461,-0.9276262483142461,-0.1477868315343835,-0.9225916819084092,-2.309965200291668,-1.6162784411000386
1858,-0.721878577423831,-0.721878577423831,-0.09515266820687976,-0.9845396420712711,-2.3094579722818076,-1.6469988071765393
1859,-0.9719722955060992,-0.9719722955060992,-0.08074893813534847,-1.4619341245659423,-2.385276808839159,-1.9236054667025506
1860,-1.1130470624958497,-1.1130470624958497,-0.04719105881415621,-1.2647107341703656,-2.5171202697716555,-1.8909155019710107
1861,-0.8164817845802005,-0.8164817845802005,-0.03784503498451949,1.2983536257747865,-0.37584486004645257,0.461254382864167
1862,-0.8333221539002877,-0.8333221539002877,0.062111768017639846,1.7581065428022795,0.7914335530373162,1.2747700479197979
1863,-1.1535700200655896,-1.1535700200655896,0.06073670157226188,1.6843986490173584,1.1239300966523995,1.404164372834879
1864,-1.662289329292685,-1.662289329292685,0.09273766995145587,1.9732452358659107,1.2693730230609883,1.6213091294634494
1865,-1.6387941650035478,-1.6387941650035478,0.04040805316940904,0.37339648460412983,1.2784909240178877,0.8259437043110087
1866,-1.7748499706219738,-1.7748499706219738,0.025958936066894787,-0.15592069810969042,-1.312186388966169,-0.7340535435379296
1867,-1.8162555989722162,-1.8162555989722162,0.07743085305128107,0.16099862238635174,-1.327958784106927,-0.5834800808602876
1868,-1.6148842345860133,-1.6148842345860133,0.06561723193569385,-0.3021643707886944,-1.44155703979494,-0.8718607052918173
1869,-1.1213118438901333,-1.1213118438901333,0.10431131482118992,-0.2928922214180245,-1.6471782404169475,-0.970035230917486
1870,-1.2022435656083952,-1.2022435656083952,0.05447404199508085,-0.4168262846173421,-1.6370530794670737,-1.0269396820422079
1871,-1.3863258187743526,-1.3863258187743526,0.095820903999023,-0.3145591797178469,-1.7471273152072866,-1.0308432474625668
1872,-1.3888614879670316,-1.3888614879670316,0.13444675554376037,-0.3318789636587797,-1.7996646487351684,-1.065771806196974
1873,-1.2216129196931849,-1.2216129196931849,0.16142063454305328,-0.3291858646004371,-1.768228971817861,-1.048707418209149
1874,-1.0435128211649278,-1.0435128211649278,0.13960027636301892,-0.4796764421059537,-1.729239112246721,-1.1044577771763373
1875,-1.0711126541336036,-1.0711126541336036,0.1673275762229186,-0.5878814651107505,-1.8636720508183413,-1.225776757964546
1876,-1.2608277484062016,-1.2608277484062016,0.1702948350755567,-0.7300878035637185,-1.7835961585888942,-1.2568419810763063
1877,-1.3491244808065597,-1.3491244808065597,0.19336758576062837,-1.015500565651994,-1.9990924145156224,-1.5072964900838082
1878,-0.9839183973576154,-0.9839183973576154,0.2314289547423167,-0.8245319054732777,-1.9810014688665833,-1.4027666871699305
1879,-1.077047211250812,-1.077047211250812,0.3524776315941239,-0.8697607644556539,-1.923095471289142,-1.3964281178723978
1880,-1.0644886919307002,-1.0644886919307002,0.418861485067997,-0.630790728819142,-1.8758425864385961,-1.253316657628869
1881,-1.255523510417997,-1.255523510417997,0.4203122182595584,-0.6241722063248714,-1.8718021769015916,-1.2479871916132315
1882,-1.2911369476149555,-1.2911369476149555,0.4546301021459849,-0.6111982604894083,-1.8718021769015913,-1.2415002186954998
1883,-0.5720698212039096,-0.5720698212039096,0.4726427994793742,-0.7591889476246003,-1.8655456392872862,-1.3123672934559432
1884,-0.9330460324778631,-0.9330460324778631,0.48985560798681604,-0.8607828276927548,-1.817077277212345,-1.3389300524525498
1885,-0.9579332205528168,-0.9579332205528168,0.5035329352500859,-1.3610765028977772,-1.881615798349916,-1.6213461506238467
1886,-0.9744136787182103,-0.9744136787182103,0.518832342530772,-1.0413292169289385,-1.9161681798565757,-1.4787486983927571
1887,-1.076730607247239,-1.076730607247239,0.5250341123615968,-0.9465752840703593,-1.9459101490553132,-1.4462427165628362
1888,-1.1862987960586415,-1.1862987960586415,0.4776388093452044,-0.7634412267116533,-1.9459101490553132,-1.3546756878834834
1889,-1.2350716190193067,-1.2350716190193067,0.4865944534684266,-0.7871129729782766,-1.953209451536925,-1.3701612122576008
1890,-1.1516683961720373,-1.1516683961720373,0.4972600415025757,-0.6940258855406116,-1.9640594675609908,-1.3290426765508012
1891,-1.2308009208443642,-1.2308009208443642,0.5404684643837401,-0.6637274479817533,-2.0007685096073597,-1.3322479787945565
