country,year,mortality_rate
China,1800,417.44
China,1801,417.44
China,1802,417.44
China,1803,417.44
China,1804,417.44
China,1805,417.44
China,1806,417.44
China,1807,417.44
China,1808,417.44
China,1809,417.44
China,1810,417.44
China,1811,417.44
China,1812,417.44
China,1813,417.44
China,1814,417.44
China,1815,417.44
China,1816,417.44
China,1817,417.44
China,1818,417.44
China,1819,417.44
China,1820,417.44
China,1821,417.44
China,1822,417.44
China,1823,417.44
China,1824,417.44
China,1825,417.44
China,1826,417.44
China,1827,417.44
China,1828,417.44
China,1829,417.44
China,1830,417.44
China,1831,417.44
China,1832,417.44
China,1833,417.44
China,1834,417.44
China,1835,417.44
China,1836,417.44
China,1837,417.44
China,1838,417.44
China,1839,417.44
China,1840,417.44
China,1841,417.44
China,1842,417.44
China,1843,417.44
China,1844,417.44
China,1845,417.44
China,1846,417.44
China,1847,417.44
China,1848,417.44
China,1849,417.44
China,1850,417.44
China,1851,430.46
China,1852,443.79
China,1853,457.41
China,1854,471.38
China,1855,485.68
China,1856,500.35
China,1857,491.55
China,1858,481.39
China,1859,472.81
China,1860,464.39
China,1861,456.05
China,1862,446.51
China,1863,438.46
China,1864,430.46
China,1865,429.16
China,1866,426.55
China,1867,425.25
China,1868,422.65
China,1869,421.34
China,1870,418.74
China,1871,417.44
China,1872,417.44
China,1873,417.44
China,1874,417.44
China,1875,417.44
China,1876,417.44
China,1877,417.44
China,1878,417.44
China,1879,417.44
China,1880,417.44
China,1881,417.44
China,1882,417.44
China,1883,417.44
China,1884,417.44
China,1885,417.44
China,1886,417.44
China,1887,417.44
China,1888,417.44
China,1889,417.44
China,1890,417.44
China,1891,417.44
China,1892,417.44
China,1893,417.44
China,1894,417.42
China,1895,417.39
China,1896,417.33
China,1897,417.22
China,1898,417.05
China,1899,416.83
China,1900,416.53
China,1901,416.17
China,1902,415.75
China,1903,415.26
China,1904,414.7
China,1905,414.08
China,1906,413.4
China,1907,412.65
China,1908,411.83
China,1909,410.96
China,1910,410.05
China,1911,409.1
China,1912,408.13
China,1913,407.15
China,1914,406.17
China,1915,405.19
China,1916,404.21
China,1917,403.23
China,1918,402.25
China,1919,401.27
China,1920,400.29
China,1921,399.31
China,1922,398.33
China,1923,397.35
China,1924,396.38
China,1925,395.4
China,1926,394.42
China,1927,393.44
