geo.name,indicator.name,geo,indicator,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Abkhazia,Child mortality (under age five),abkh,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Child mortality (under age five),afg,u5mr,468.58,468.58,468.58,468.58,468.58,468.58,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,474.24,474.24,474.24,474.24,474.24,474.24,474.24,474.24,474.24,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,481.39,481.39,481.39,481.39,481.39,481.39,481.39,481.39,481.39,482.81,482.77,482.69,482.57,482.38,482.11,481.77,481.36,480.87,480.3,481.08,480.36,479.57,478.69,477.75,476.74,475.68,474.58,473.45,472.32,472.57,471.43,470.29,469.15,468.01,466.87,465.74,464.6,463.46,462.32,462.57,461.43,460.28,459.14,458,456.85,455.71,454.007,452.297,451.955,450.258,448.555,446.855,445.167,443.472,441.78,440.101,438.415,436.732,436.36,434.68,433.004,431.33,429.659,427.992,426.326,424.664,421.065,413.956,407.034,400.297,393.745,387.378,381.194,375.19,369.361,363.7,357.5,351.5,345.5,339.7,333.9,328.4,322.7,317.2,311.5,306,300.4,294.7,288.9,282.7,276.7,270.6,264.3,257.9,251.5,244.8,238.2,231.5,224.6,217.9,210.9,204.1,197.2,190.5,183.8,177.3,171.1,165.2,159.6,154.5,149.6,145.1,141,137.1,133.4,129.7,126,122.2,118.3,114.4,110.3,106.3,102.2,98.2,94.1,90.2,86.4,82.8,79.3,76.1,73.2,70.4,68.248,65.924,63.707,61.595,59.586,57.676,55.86,54.132,52.487,50.924,49.441,48.031,46.692,45.416,44.204,43.051,41.955,40.909,39.907,38.947,38.025,37.139,36.286,35.464,34.673,33.915,33.19,32.497,31.832,31.196,30.584,29.996,29.426,28.87,28.326,27.789,27.26,26.739,26.227,25.728,25.245,24.782,24.336,23.909,23.497,23.098,22.709,22.326,21.947,21.568,21.192,20.818,20.446,20.074,19.707,19.344,18.99,18.643,18.308,17.986,17.676,17.377,17.092,16.815,16.547,16.285,16.028,15.773,15.521,15.27,15.023,14.78,14.541,14.304,14.072,13.842,13.617,13.394,13.175,12.961,12.749,12.54,12.335,12.335
Akrotiri and Dhekelia,Child mortality (under age five),akr_a_dhe,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Child mortality (under age five),alb,u5mr,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.19,375.16,375.1,375.01,374.86,374.65,374.39,374.07,373.69,373.24,372.75,372.19,371.57,370.9,370.16,369.38,368.56,367.71,366.84,365.96,365.08,364.2,363.32,362.43,361.55,360.67,359.79,358.91,358.03,357.15,356.27,355.39,354.51,353.63,352.75,351.87,348.063,344.296,340.571,336.886,333.24,329.634,326.067,322.539,319.049,315.597,312.182,308.804,305.462,302.157,298.888,295.653,292.454,289.29,286.159,283.063,280,268.994,258.42,248.262,238.504,229.129,220.122,211.47,203.157,195.172,187.5,180.13,173.049,166.247,159.712,153.434,147.403,141.609,136.043,130.695,125.558,120.622,115.881,111.326,106.95,102.746,98.707,94.827,90.8,84.1,77.8,72,66.8,61.9,57.4,53.4,49.8,46.7,44.1,41.8,40,38.3,36.9,35.5,34.2,32.9,31.5,30.1,28.7,27.4,26,24.8,23.5,22.4,21.4,20.4,19.4,18.6,17.9,17.2,16.6,16,15.4,14.9,14.4,14,13.5,13.273,12.913,12.561,12.217,11.885,11.565,11.258,10.965,10.684,10.416,10.157,9.906,9.662,9.423,9.19,8.964,8.743,8.528,8.319,8.115,7.919,7.729,7.545,7.367,7.194,7.026,6.862,6.702,6.546,6.397,6.254,6.118,5.988,5.864,5.744,5.629,5.517,5.406,5.298,5.192,5.089,4.989,4.89,4.794,4.7,4.608,4.519,4.43,4.344,4.26,4.179,4.099,4.02,3.943,3.868,3.794,3.721,3.649,3.578,3.508,3.439,3.372,3.307,3.243,3.18,3.119,3.061,3.003,2.947,2.894,2.842,2.792,2.744,2.698,2.653,2.612,2.572,2.534,2.499,2.466,2.435,2.407,2.38,2.38
Algeria,Child mortality (under age five),dza,u5mr,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.19,460.16,460.09,459.97,459.79,459.53,459.21,458.81,458.35,457.81,457.19,456.51,455.75,454.93,454.03,453.07,452.06,451.01,449.95,448.87,447.79,446.71,445.63,444.55,443.47,442.39,441.31,440.23,439.15,438.07,433.04,429.39,425.75,420.84,417.23,412.44,408.92,403.765,397.428,392.424,386.276,380.185,373.019,367.114,361.265,355.5,349.818,344.2,341.863,339.532,337.21,323.838,310.991,298.648,286.789,275.396,264.451,262.405,258.285,254.117,249.9,248.9,247.6,246.6,245.7,245.2,244.8,244.7,245,245.8,246.6,247.6,248.1,248,246.6,244.4,240.8,235.7,229.2,221.6,213,203.8,194.1,183.9,172.9,161.2,148.1,133.3,117.4,101.3,86.2,73.7,64.4,57.9,53.5,50.8,49,47.6,46.5,45.5,44.4,43.3,42.3,41.5,40.8,40.3,39.7,38.9,37.8,36.5,35.1,33.5,32.1,30.7,29.4,28.3,27.3,26.6,26.1,25.8,25.6,25.5,25.2,23.896,23.096,22.29,21.483,20.682,19.9,19.148,18.431,17.754,17.119,16.523,15.961,15.429,14.927,14.449,13.992,13.554,13.13,12.719,12.32,11.934,11.562,11.203,10.858,10.527,10.21,9.908,9.62,9.346,9.089,8.849,8.624,8.413,8.215,8.029,7.853,7.685,7.524,7.368,7.218,7.072,6.932,6.796,6.665,6.538,6.416,6.297,6.183,6.072,5.966,5.862,5.763,5.668,5.575,5.483,5.394,5.308,5.223,5.139,5.058,4.978,4.9,4.824,4.751,4.679,4.609,4.539,4.472,4.405,4.34,4.276,4.214,4.154,4.097,4.042,3.991,3.943,3.899,3.86,3.824,3.792,3.764,3.741,3.741
American Samoa,Child mortality (under age five),asm,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,Child mortality (under age five),and,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,11.9,11.1,10.2,9.5,8.8,8.1,7.5,7,6.5,6.1,5.7,5.3,5,4.8,4.6,4.4,4.2,4.1,4,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3,2.9,2.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Child mortality (under age five),ago,u5mr,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.67,485.63,485.55,485.43,485.24,484.97,484.63,484.21,483.72,483.15,482.5,481.78,480.98,480.11,479.16,478.15,477.08,475.98,474.85,473.71,472.57,471.43,470.29,469.15,468.01,466.87,465.74,464.6,463.46,462.32,461.18,460.04,458.9,457.76,456.62,455.48,454.34,448.98,443.642,438.325,433.029,427.754,422.501,417.269,412.058,406.868,401.7,394.219,386.816,379.501,371.133,364.019,357.007,350.071,342.179,335.413,328.779,327.845,325.91,323.834,321.62,319.263,316.765,314.121,311.329,308.381,305.273,301.999,298.564,294.981,291.275,287.473,283.606,279.707,275.807,271.936,268.086,264.232,260.366,256.519,252.748,249.152,245.839,242.883,240.323,238.167,236.4,233.6,230.5,227.8,225.4,223.9,222.6,221.8,221.3,221.2,221.4,222.1,222.8,223.5,223.7,223.4,222,219.7,216.5,212.2,207,200.9,193.9,185.7,177,167.2,157.5,147.6,137.9,128.3,119.4,111,103.5,96.8,91.2,86.5,82.5,83.1,81.638,80.154,78.578,76.906,75.223,73.588,72.002,70.462,68.965,67.511,66.094,64.714,63.368,62.055,60.777,59.534,58.325,57.155,56.022,54.929,53.877,52.862,51.882,50.933,50.014,49.118,48.246,47.394,46.562,45.749,44.959,44.192,43.449,42.735,42.05,41.394,40.765,40.159,39.574,39.003,38.443,37.891,37.345,36.802,36.267,35.739,35.22,34.712,34.218,33.739,33.275,32.824,32.386,31.956,31.531,31.107,30.685,30.26,29.835,29.409,28.985,28.566,28.153,27.748,27.355,26.972,26.6,26.238,25.883,25.534,25.189,24.844,24.501,24.159,23.819,23.482,23.147,22.816,22.488,22.164,21.843,21.526,21.526
Anguilla,Child mortality (under age five),aia,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Child mortality (under age five),atg,u5mr,473.6,469.77,465.972,462.204,458.466,454.759,451.082,447.434,443.816,440.227,436.668,433.137,429.634,426.16,422.714,419.296,415.905,412.542,409.206,405.897,402.615,399.36,396.13,392.927,389.75,386.598,383.472,380.371,377.295,374.245,371.218,368.217,365.239,362.286,359.356,356.45,353.568,350.709,347.873,345.06,342.27,339.502,336.757,334.034,331.333,328.653,325.996,323.36,320.745,318.151,315.579,313.027,310.496,307.985,305.495,303.024,300.574,298.143,295.733,293.341,290.969,288.616,286.283,283.968,281.671,279.394,277.135,274.894,272.671,270.466,268.279,266.109,263.958,261.823,259.706,257.606,255.523,253.457,251.407,249.374,247.358,245.358,243.374,241.406,239.454,237.517,235.597,233.692,231.802,229.927,228.068,226.224,224.395,222.58,220.78,218.995,217.224,215.468,213.725,211.997,210.283,208.583,206.896,205.223,203.563,201.917,200.285,198.665,197.059,195.465,193.885,192.317,190.762,189.219,187.689,186.171,184.666,183.173,181.691,180.222,178.765,177.319,175.886,174.463,173.053,171.653,170.265,168.888,167.523,166.168,164.824,163.778,162.737,161.702,160.674,159.651,158.635,157.624,156.62,155.621,154.629,153.642,152.661,151.686,150.717,149.753,148.795,147.843,146.897,145.956,145.021,142.058,136.24,130.641,125.258,120.091,115.142,110.405,105.879,101.555,97.426,93.482,89.71,86.095,82.627,79.296,76.1,73.037,70.106,67.297,64.603,62.021,59.547,57.174,54.898,52.711,50.612,48.599,46.67,44.82,43.044,41.341,39.707,38.143,36.642,35.2,33.1,31.2,29.4,27.7,26.1,24.6,23.2,21.8,20.6,19.5,18.4,17.4,16.5,15.6,14.9,14.2,13.6,13.1,12.6,12.1,11.7,11.4,11,10.6,10.3,9.9,9.6,9.3,9,8.7,8.5,8.158,7.894,7.645,7.414,7.206,7.017,6.845,6.688,6.544,6.41,6.282,6.157,6.032,5.907,5.782,5.657,5.535,5.414,5.295,5.178,5.063,4.951,4.84,4.732,4.626,4.522,4.419,4.32,4.224,4.129,4.039,3.952,3.868,3.787,3.71,3.634,3.559,3.487,3.416,3.346,3.278,3.211,3.146,3.083,3.021,2.962,2.904,2.85,2.797,2.748,2.703,2.661,2.622,2.586,2.552,2.519,2.486,2.454,2.422,2.389,2.357,2.326,2.295,2.265,2.236,2.208,2.18,2.154,2.129,2.104,2.08,2.058,2.035,2.013,1.991,1.97,1.948,1.927,1.906,1.885,1.865,1.845,1.824,1.824
