year,us_uk_child_mortality_ratio
1800,1.4067894480914174
1801,1.4163020530551051
1802,1.425988108807492
1803,1.4357630272952855
1804,1.4406336559708692
1805,1.443726188245581
1806,1.4536221858885674
1807,1.4585752145381121
1808,1.4636084465128059
1809,1.4686765359933924
1810,1.4707195001434539
1811,1.4809643040575247
1812,1.486068610082139
1813,1.4963349766476388
1814,1.4912082228974077
1815,1.4795941375422774
1816,1.474512069851053
1817,1.469370781484917
1818,1.4643119002837195
1819,1.4643119002837195
1820,1.4506957239977127
1821,1.4456896824643048
1822,1.4407180716809693
1823,1.4407180716809693
1824,1.4506957239977127
1825,1.432679696746745
1826,1.4376926040061635
1827,1.4476372099036783
1828,1.457672904800651
1829,1.452614167099118
1830,1.4222315598939814
1831,1.4173296827186344
1832,1.4477203857429104
1833,1.4787667365704145
1834,1.5104787078834898
1835,1.508187524106736
1836,1.5405333772680712
1837,1.5735656195009164
1838,1.6073063455940328
1839,1.6417733839723647
1840,1.6222391172973076
1841,1.6570290720828356
1842,1.5907022976641052
1843,1.6110895996282815
1844,1.6066725875584043
1845,1.6078202391978413
1846,1.418668277430358
1847,1.417761522619132
1848,1.4333871836295098
1849,1.4264227787503123
1850,1.5124090541632984
1851,1.4263876181762734
1852,1.4003892361241066
1853,1.4152199402397974
1854,1.327503015681544
1855,1.3161060455137537
1856,1.3890663539687031
1857,1.3085361672951663
1858,1.2240076961448014
1859,1.2541252920560746
1860,1.3331423426373088
1861,1.2601160541586074
1862,1.2840586565752128
1863,1.1656050955414015
1864,1.1984547461368653
1865,1.1856596988087211
1866,1.1768424183832826
1867,1.2744111133480975
1868,1.2038340116389639
1869,1.2040629993152248
1870,1.2139876294805874
1871,1.262340178225494
1872,1.3375343815427563
1873,1.3841872716458492
1874,1.2887544005379534
1875,1.3778896863475951
1876,1.456248428463666
1877,1.543645328950291
1878,1.3812306224660147
1879,1.5228099390858496
1880,1.3101855538743332
1881,1.5369213900939123
1882,1.3579965606190887
1883,1.396497246546899
1884,1.3036487587360117
1885,1.360168136336638
1886,1.2637581855240905
1887,1.255712587504953
1888,1.3105715493354624
1889,1.2025455343427693
1890,1.1551426847141997
1891,1.1337284205101776
1892,1.1424428822495605
1893,1.088576509441951
1894,1.2213699951760733
1895,1.0521251002405774
1896,1.094005328596803
1897,1.0715011710636795
1898,1.0320989790621216
1899,1.010375408989151
1900,1.0276767497560542
1901,1.0564392709734267
1902,1.0860452289023717
1903,1.126490274001255
1904,1.0748250407439364
1905,1.1702711426726922
1906,1.1518754274291125
1907,1.23655058796796
1908,1.150859615165661
1909,1.190069964404075
1910,1.2963129208079514
1911,0.9930250990752972
1912,1.2452002194185408
1913,1.1788653919209826
1914,1.1360391072232585
1915,1.038310708898944
1916,1.3391174270755424
1917,1.3191831954914734
1918,1.3987142022209234
1919,1.2528940338379342
1920,1.254696504752638
1921,1.2754601226993865
1922,1.2152910802032149
1923,1.4672075065975956
1924,1.222722100656455
1925,1.1551892660387417
1926,1.1719945752203815
1927,1.0866904738924814
1928,1.0683217781402936
1929,0.8566458754282702
1930,1.0147266018114727
1931,0.8854162298175718
1932,0.8470791118775598
1933,0.8337893296853626
1934,0.9221695385682895
1935,0.9355599702011421
1936,0.9119059049447913
1937,0.9148856858846918
1938,0.9466666666666667
1939,0.9549317147192715
1940,0.8014239482200647
1941,0.7427130734227032
1942,0.8050859914743496
1943,0.831090487238979
1944,0.8463607328962851
1945,0.8758620689655172
1946,0.8710580332151521
1947,0.7999626447515876
1948,0.9900398406374502
1949,1.0371047818134307
1950,1.0300546448087433
1951,1.0427350427350428
1952,1.0595238095238095
1953,1.0809968847352025
1954,1.0974025974025974
1955,1.114864864864865
1956,1.1254355400696863
1957,1.1321428571428571
1958,1.1386861313868613
1959,1.1333333333333333
1960,1.131578947368421
