country,year,volatility
China,1989,6.52725105109176
China,1990,7.917890647888782
China,1991,7.792869005719836
China,1992,7.885414202336528
China,1993,6.870718743453604
China,1994,9.040536582502165
China,1995,8.321156256827836
China,1996,7.144045382444437
China,1997,8.20594701896744
China,1998,10.24629947645858
China,1999,7.568284185242436
China,2000,3.948387472187381
China,2001,1.6125142123747156
China,2002,0.8744918655088718
China,2003,1.0498528987349303
China,2004,1.6942790161092756
China,2005,1.664894225541325
China,2006,1.6293232412394285
China,2007,1.5934262506432961
China,2008,1.8753635182539512
China,2009,2.6735392143376684
China,2010,2.6270954745764343
China,2011,2.7160619096140115
China,2012,2.6775124325619957
China,2013,2.2428970315746666
China,2014,1.400484483391009
China,2015,1.6025823749773296
China,2016,0.5051677051292014
China,2017,0.4576660352566994
China,2018,0.27600279109899084
China,2019,0.5693620739778827
China,2020,0.49015278636294835
China,2021,0.7405722272686965
China,2022,0.7079782560186298
China,2023,1.0833055099477993
China,2024,1.0028692214443669
United Kingdom,1962,1.6697560169300378
United Kingdom,1963,1.4301534243840541
United Kingdom,1964,1.2687251351015771
United Kingdom,1965,1.042028106866655
United Kingdom,1966,1.0518234852958972
United Kingdom,1967,1.101682086371139
United Kingdom,1968,0.9704411285764146
United Kingdom,1969,1.1343610859406383
United Kingdom,1970,1.4838507324883852
United Kingdom,1971,2.5441822012416817
United Kingdom,1972,1.8247840653049165
United Kingdom,1973,1.7566735662248505
United Kingdom,1974,3.826224128595908
United Kingdom,1975,7.016853693155876
United Kingdom,1976,6.784373128995078
United Kingdom,1977,5.322397988351031
United Kingdom,1978,5.643401273617536
United Kingdom,1979,5.779773760682791
United Kingdom,1980,3.810254254941317
United Kingdom,1981,3.7243802493004043
United Kingdom,1982,3.9735432970950715
United Kingdom,1983,5.033097348031101
United Kingdom,1984,5.536335002879748
United Kingdom,1985,3.034171966812608
United Kingdom,1986,1.9559388909477802
United Kingdom,1987,0.9828112041408611
United Kingdom,1988,1.0074294432671873
United Kingdom,1989,1.142732430635814
United Kingdom,1990,1.858171866271257
United Kingdom,1991,1.8198707702288914
United Kingdom,1992,1.7203496477414848
United Kingdom,1993,2.2242876949751587
United Kingdom,1994,2.7066677628928058
United Kingdom,1995,2.1929162244146596
United Kingdom,1996,0.9287047929102601
United Kingdom,1997,0.2890929665083407
United Kingdom,1998,0.41588446953030705
United Kingdom,1999,0.4987892687544546
United Kingdom,2000,0.6163435681242269
United Kingdom,2001,0.3754677370272013
United Kingdom,2002,0.24979985933547103
United Kingdom,2003,0.21070083722983096
United Kingdom,2004,0.14121282034973467
United Kingdom,2005,0.29256970459069753
United Kingdom,2006,0.4829996923811847
United Kingdom,2007,0.5261083225113558
United Kingdom,2008,0.7700405478232946
United Kingdom,2009,0.6154650944110204
United Kingdom,2010,0.5761226423090569
United Kingdom,2011,0.8053484129695265
United Kingdom,2012,0.7828718003733194
United Kingdom,2013,0.722211988811194
United Kingdom,2014,0.863507220258655
United Kingdom,2015,1.3004808814259867
United Kingdom,2016,0.9078159992232447
United Kingdom,2017,0.9034209681727603
United Kingdom,2018,0.9036666200379074
United Kingdom,2019,0.9060673303851026
United Kingdom,2020,0.71942193815069
United Kingdom,2021,0.6620832532523426
United Kingdom,2022,2.7636331821282614
United Kingdom,2023,3.1449568834660977
United Kingdom,2024,2.938131522209313
United States,1962,0.1972927570351124
United States,1963,0.16109503987419693
United States,1964,0.1404968842509267
United States,1965,0.19039894600853477
United States,1966,0.7707793436623268
United States,1967,0.8507910546824463
United States,1968,1.2011492116615117
United States,1969,1.4871400324049
United States,1970,1.3872345126625139
United States,1971,1.2032870031954976
United States,1972,1.029339724650909
United States,1973,1.202956324327302
United States,1974,2.995123463238546
United States,1975,3.267691134097837
United States,1976,3.0475869558879896
United States,1977,2.2863909594404883
United States,1978,2.127468468692789
United States,1979,2.1994455007412657
United States,1980,3.3342777018784306
United States,1981,2.829612889438798
United States,1982,2.9418998531006135
United States,1983,4.160238810284802
United States,1984,4.333620662243666
United States,1985,2.926782550143081
United States,1986,1.5581950602964696
United States,1987,0.8894545048107149
United States,1988,0.9447249727106779
United States,1989,1.07674320618678
United States,1990,1.3389690917406543
United States,1991,0.6786059935944673
United States,1992,0.8876773934306712
United States,1993,1.083610651020984
United States,1994,1.1573504760074518
United States,1995,0.640568997981328
United States,1996,0.1647842664646994
United States,1997,0.2569901695893073
United States,1998,0.5479812677859324
United States,1999,0.5493440692254549
United States,2000,0.702507234880392
United States,2001,0.6869357180988491
United States,2002,0.7933600138929687
United States,2003,0.6797066357831316
United States,2004,0.6677756775607679
United States,2005,0.6727300195394081
United States,2006,0.7346026435644281
United States,2007,0.4461952040540679
United States,2008,0.45830155361918873
United States,2009,1.684808130874148
United States,2010,1.6584165949155758
United States,2011,1.6484084193653892
United States,2012,1.6108288406514133
United States,2013,1.2735725402545501
United States,2014,0.689445750067001
United States,2015,1.097720579752116
United States,2016,0.7279641156604717
United States,2017,0.7441944215772914
United States,2018,0.9033749361721338
United States,2019,0.9129558479587148
United States,2020,0.531478522698933
United States,2021,1.3267268578977862
United States,2022,2.7712146451023196
United States,2023,2.690662689333199
United States,2024,2.503969744922799
World,1983,1.8964197131231526
World,1984,1.9480545044999136
World,1985,2.168330000490241
World,1986,1.6971573186291307
World,1987,1.3265441048517008
World,1988,0.9794263512238767
World,1989,0.6576964483368847
World,1990,0.9780175581196573
World,1991,1.2397082933076617
World,1992,0.8297163661899544
World,1993,0.8238625374177884
World,1994,1.2290714737230595
World,1995,1.2395904901105181
World,1996,1.5141494410950669
World,1997,1.9157207959822078
World,1998,2.255455639529402
World,1999,2.2029484237509562
World,2000,1.4637662752318241
World,2001,1.0838816759036076
World,2002,0.8797323359654577
World,2003,0.38360017693031645
World,2004,0.37839979300919446
World,2005,0.5138568835789494
World,2006,0.6149178990480336
World,2007,0.6905436281189444
World,2008,2.184223057326294
World,2009,2.3210908689763343
World,2010,2.4202514170134717
World,2011,2.3998880213420817
World,2012,2.464302399202491
World,2013,0.8596153035975128
World,2014,0.972713700636991
World,2015,1.304494208093748
World,2016,0.9161981710756917
World,2017,0.5149496898899757
World,2018,0.4607234102115649
World,2019,0.43801891887054883
World,2020,0.32908952629370525
World,2021,0.6011209747501599
World,2022,2.492417847209115
World,2023,2.568018830202867
World,2024,2.4266878065555457
