year,grain_price,country,region,dataset,century
1841,33.24308333333334,UK,England_1841_1929,england_grain_1,1800
1842,29.506833333333333,UK,England_1841_1929,england_grain_1,1800
1843,28.194416666666665,UK,England_1841_1929,england_grain_1,1800
1844,32.48616666666667,UK,England_1841_1929,england_grain_1,1800
1845,33.3055,UK,England_1841_1929,england_grain_1,1800
1846,30.22216666666667,UK,England_1841_1929,england_grain_1,1800
1847,42.68069166666667,UK,England_1841_1929,england_grain_1,1800
1848,31.416666666666668,UK,England_1841_1929,england_grain_1,1800
1849,29.492999999999995,UK,England_1841_1929,england_grain_1,1800
1850,24.625,UK,England_1841_1929,england_grain_1,1800
1851,24.11108333333333,UK,England_1841_1929,england_grain_1,1800
1852,27.59041666666667,UK,England_1841_1929,england_grain_1,1800
1853,29.979166666666668,UK,England_1841_1929,england_grain_1,1800
1854,38.03466666666666,UK,England_1841_1929,england_grain_1,1800
1855,32.68741666666667,UK,England_1841_1929,england_grain_1,1800
1856,39.00008333333334,UK,England_1841_1929,england_grain_1,1800
1857,43.47933333333334,UK,England_1841_1929,england_grain_1,1800
1858,36.84033333333334,UK,England_1841_1929,england_grain_1,1800
1859,39.00008333333334,UK,England_1841_1929,england_grain_1,1800
1860,35.257000000000005,UK,England_1841_1929,england_grain_1,1800
1861,37.01391666666667,UK,England_1841_1929,england_grain_1,1800
1862,35.618,UK,England_1841_1929,england_grain_1,1800
1863,34.34033333333333,UK,England_1841_1929,england_grain_1,1800
1864,31.298666666666673,UK,England_1841_1929,england_grain_1,1800
1865,29.138833333333338,UK,England_1841_1929,england_grain_1,1800
1866,33.84716666666666,UK,England_1841_1929,england_grain_1,1800
1867,40.479166666666664,UK,England_1841_1929,england_grain_1,1800
1868,41.514,UK,England_1841_1929,england_grain_1,1800
1869,42.083333333333336,UK,England_1841_1929,england_grain_1,1800
1870,35.02783333333334,UK,England_1841_1929,england_grain_1,1800
1871,36.0555,UK,England_1841_1929,england_grain_1,1800
1872,35.9375,UK,England_1841_1929,england_grain_1,1800
1873,39.37483333333333,UK,England_1841_1929,england_grain_1,1800
1874,45.26408333333334,UK,England_1841_1929,england_grain_1,1800
1875,40.63191666666666,UK,England_1841_1929,england_grain_1,1800
1876,34.3265,UK,England_1841_1929,england_grain_1,1800
1877,38.430499999999995,UK,England_1841_1929,england_grain_1,1800
1878,41.0765,UK,England_1841_1929,england_grain_1,1800
1879,34.291666666666664,UK,England_1841_1929,england_grain_1,1800
1880,34.95133333333333,UK,England_1841_1929,england_grain_1,1800
1881,31.88891666666667,UK,England_1841_1929,england_grain_1,1800
1882,30.972166666666663,UK,England_1841_1929,england_grain_1,1800
1883,54.8125,UK,England_1841_1929,england_grain_1,1800
1884,31.12491666666666,UK,England_1841_1929,england_grain_1,1800
