year,ratio
1894,0.005478991427031922
1895,0.019235431592056904
1896,0.028595221805994903
1897,0.04595770817273878
1898,0.08286395780064229
1899,0.09738110611367473
1900,0.10452953288891816
1901,0.14857109550194975
1902,0.016085050675841345
1903,0.014900645472237569
1904,0.007686660071891372
1905,0.007496399192328825
1906,0.007242597268616163
1907,0.009599462844438997
1908,0.0060366220100545225
1909,0.008199603068739132
1910,0.005237547781990843
1911,0.004071641716689549
1912,0.003339173460714952
1913,0.0025065399900851275
1914,0.0016263105678507575
1915,0.0011047986935316465
1916,0.00046757234952814723
1917,0.0002459593341509332
1918,6.01223298291883e-05
1919,4.1998136999624935e-05
1920,4.2319057779606484e-05
1921,4.098901944362201e-05
1922,4.120916338935434e-05
1923,7.03127831999958e-05
1924,0.00012471076451250456
1925,0.00018590927582490764
1926,0.00031138041176472344
1927,0.0003922894042896612
1928,0.3605666130882288
1929,0.19015942298163652
1930,0.20720070166720225
1931,86.88349512808524
1932,108.33809907497118
1933,102.56615996645029
1934,0.09677733335428329
1935,0.0021733485310872873
1936,0.002432973844528535
1937,0.043007249688035
1938,0.04528800184761667
1939,0.08035836234102735
1940,0.07074202784037661
1941,0.12231366367084709
1942,0.12988183061567424
1943,0.09996007102316824
1944,0.09825044798584474
1945,0.00045944583575484207
1946,0.0005486677367068946
1947,0.000539588163920107
1948,0.00041113579985006625
1949,0.0003328640552317913
1950,0.0003321515794847837
1951,0.16883137017661337
1952,0.2570299180761333
1953,0.3976628709480025
1954,0.521635279971878
1955,0.008747338015666014
1956,8.988264628521113
1957,8.956974091742923
1958,9.240218798233832
1959,39.52216276966137
1960,95.60010604027205
1961,231.12904689350609
1962,285.72865232412266
1963,183.22395556732354
1964,128.15360795892283
1965,59.40782128794571
1966,63.7182934607355
1967,35.73177054280892
1968,27.254684574990208
1969,22.710077962041854
1970,17.153203585863622
1971,15.655834771033435
1972,8.524953142216445
1973,4.908475503937802
1974,0.9652133435868203
1975,1.533366476000578
1976,2.002693836518378
1977,2.314317766253863
1978,2.895411069722173
1979,2.842985247965968
1980,2.8487117142822616
1981,2.942675798306128
1982,2.7280018310018797
1983,2.4893385379486634
1984,2.2958882337674367
1985,2.2886191666883744
1986,2.361199807401605
1987,2.673891960780063
1988,3.372400112658425
1989,3.268770440929016
1990,0.9125632153594253
1991,1.1353666155118938
1992,1.7366945939843144
1993,2.5558466164616456
1994,4.07785179812577
1995,7.415245560005484
1996,3.6721538377973726
1997,1.8055007789753221
1998,1.1300651370121246
1999,1.1137396750733621
2000,1.5420349567994454
2001,2.3178712952983695
2002,3.5113990788491574
2003,4.155588936033517
2004,4.710916538123247
2005,5.641212060847922
2006,5.6074843531933505
2007,1.6345383487717984
2008,1.2233302722581978
2009,1.4749715486235875
2010,1.703470275910457
2011,1.9951074515479483
2012,3.2306837388802436
2013,0.8757334605421666
2014,0.26674034073072095
2015,0.20952665110551008
2016,0.2876681619693757
2017,0.4728137839902082
2018,0.9314538913452207
2019,1.9590505559255273
2020,1.986226826549162
2021,1.936616660157594
2022,1.7354055450606412
2023,0.09907729218777261
2024,0.10739472892862877
2025,0.0907734522483358
2026,0.09350223170658273
2027,0.046948434778431476
2028,0.08511750816285804
2029,0.1601349163478382
2030,0.1681174702155128
2031,0.31176644803887127
2032,0.4922711325555952
2033,0.3250275618434108
2034,0.2643615221430659
2035,0.13358640313266457
2036,0.12308514340873798
2037,0.2657263106996623
2038,0.3096246138702901
2039,0.5952344849341612
2040,0.952804357438896
2041,0.9025313957251986
2042,1.2018394788465725
2043,0.48614516690470155
2044,0.7564861407444844
2045,1.198531508187572
2046,1.6988859599368142
2047,1.2695286582810272
2048,1.0647599567822814
2049,0.8672473474836463
2050,0.8236077279708139
2051,0.8377519156543703
2052,1.117797286088867
2053,0.9632092970676804
2054,1.2848503972668426
2055,0.8881566215922552
2056,1.6587482562634936
2057,1.8947496964261767
2058,5.204903067601077
2059,6.929383256494953
2060,1.5388061806185371
2061,2.0576406107879044
2062,1.3229981349187514
2063,1.1567276290541564
2064,1.5224871060872571
2065,1.1222529451846113
2066,1.2573152159951861
2067,1.1529254342173039
2068,0.9038460037634182
2069,0.8045663011388373
2070,0.6518365149975505
2071,0.8007580996696497
2072,0.7569728614492716
2073,0.7214149123256548
2074,1.2758360714126418
2075,1.3442614341634684
2076,0.9689632759499478
2077,6.319840608016768
2078,6.378700813394117
2079,0.6963369704669831
2080,0.8424486837144507
2081,0.8344492403726886
2082,0.9685878656076746
2083,0.9733470656799285
2084,0.823796366374546
2085,1.0392173550145611
2086,0.8613212367779409
2087,0.8158709959216127
2088,0.8148548512271805
2089,0.7755141117343253
2090,0.8282716221792259
2091,0.7884877854657694
2092,0.6574694334420367
2093,0.6709490308999627
2094,0.7797125492500445
2095,0.6925435914773536
2096,0.7892642475661593
2097,0.7937944159730314
2098,0.7991931407819991
2099,0.8056896540842226
2100,0.788117769465163
