year,ratio
1850,0.00012481278082875685
1855,0.00022719527433829378
1860,0.0003078185922429715
1865,0.0005097879282218598
1870,0.0008
1875,0.0014000000000000002
1880,0.0023
1885,0.0036
1890,0.005699999999999999
1895,0.009000000000000001
1900,0.013999999999999999
1905,0.0215
1910,0.032799999999999996
1915,0.0496
1920,0.07400000000000001
1925,0.111
1930,0.17670000000000002
1935,0.22210000000000002
1940,0.1962
1945,0.3099
1950,0.32899999999999996
1955,0.564
1960,0.6819
1965,0.710904920767306
1970,0.710904920767306
1975,1.3406944444444444
1980,0.8557446808510638
1987,0.9997549976576527
1990,0.9514816473958947
1991,0.9475578010260693
1993,0.9405239350533517
1994,0.9395334205928674
1995,0.9387350849054049
1996,0.9613669348691809
