year,volatility
1984,6.724944420570033
1985,9.309429414028509
1986,8.151134463957344
1987,8.68914437780709
1988,10.107850514658537
1989,11.195456772200957
1990,11.58587879296826
1991,10.986347587316448
1992,11.301842561022307
1993,10.598593895279055
1994,19.422286662398324
1995,20.977082856948304
1996,21.868816414127085
1997,22.249435268458377
1998,22.64341107706988
1999,1.2708094862884072
2000,0.14016046526296255
2001,0.12948443113079622
2002,0.13359599472052894
2003,0.11891985196712465
2004,0.007875044127799326
2005,0.44528704252761914
2006,1.1816474326492186
2007,1.976981513912239
2008,3.417493777805056
2009,3.0648233099528635
2010,3.0866604676704825
2011,3.045913319730501
2012,3.1095594987886415
2013,1.3454802086892181
2014,1.7923791034339038
2015,2.5512921732293594
2016,3.4289913075167284
2017,2.999865483243293
2018,2.866757199689102
2019,3.01408180810498
2020,3.2150412954863903
2021,4.141705061851922
2022,4.634020395605658
2023,4.934179215339767
2024,4.661778719633893
2025,4.633453703727819
