year,ratio
1989,6.062031330764202
1990,5.913423018298022
1991,11.483643055438188
1992,8.883198176154059
1993,6.340578820427774
1994,7.811407840509632
1995,12.990257541421618
1996,43.35392896247687
1997,31.930976317425905
1998,18.698265942297272
1999,13.776947106962133
2000,5.620422504060942
2001,2.3474019036853706
2002,1.1022636006291697
2003,1.5445676759140812
2004,2.5371978540729274
2005,2.4748326627094963
2006,2.217965393282075
2007,3.571141590419721
2008,4.091985949958673
2009,1.586850849865335
2010,1.584098641216365
2011,1.6476874770268717
2012,1.6621954890497364
2013,1.7611066199074747
2014,2.0313193362275546
2015,1.4599183112146992
2016,0.6939458886251141
2017,0.6149818138742479
2018,0.3055240742769509
2019,0.6236468885663243
2020,0.9222438262864772
2021,0.5581949463525158
2022,0.25547579191307634
2023,0.4026166171785228
2024,0.40051171683597425
