year,china_trade,china_share,usa_trade,usa_share,china_usa_trade_ratio
1875,3.8939384e+07,1.5900227,1.858771e+08,7.589971,0.20948996
1876,4.0733176e+07,1.67327,1.8347798e+08,7.537055,0.22200581
1877,3.87652e+07,1.5505311,2.08032e+08,8.320868,0.1863425
1878,3.6793656e+07,1.4485719,2.31903e+08,9.130057,0.15865967
1879,3.9385336e+07,1.5258751,2.3875398e+08,9.249858,0.16496201
1880,4.096352e+07,1.4214777,3.104256e+08,10.772098,0.13195923
1881,4.208239e+07,1.4283437,3.18366e+08,10.805851,0.13218243
1882,3.763676e+07,1.2347907,3.009698e+08,9.874248,0.12505162
1883,3.692921e+07,1.1823549,3.171356e+08,10.1536665,0.11644611
1884,3.566363e+07,1.1890843,2.9004797e+08,9.670678,0.12295769
1885,3.71048e+07,1.2821722,2.721998e+08,9.40598,0.13631457
1886,3.744563e+07,1.307371,2.7131827e+08,9.472764,0.13801368
1887,4.166642e+07,1.3985667,2.910132e+08,9.76809,0.14317709
1888,4.617089e+07,1.4818506,2.921419e+08,9.376268,0.15804268
1889,4.489587e+07,1.3210181,3.066622e+08,9.023242,0.14640172
1890,5.424693e+07,1.5478133,3.4043347e+08,9.713498,0.15934664
1891,5.3046496e+07,1.4939246,3.5688947e+08,10.050918,0.14863564
1892,4.699184e+07,1.3764844,3.822876e+08,11.197964,0.12292274
1893,4.807087e+07,1.4397397,3.53632e+08,10.591404,0.13593474
1894,4.2341324e+07,1.2962097,3.15085e+08,9.645807,0.13438064
1895,4.6595812e+07,1.384541,3.16107e+08,9.392756,0.14740519
1896,5.0130944e+07,1.3970345,3.432616e+08,9.565914,0.14604297
1897,4.8857024e+07,1.3050575,3.758368e+08,10.039265,0.12999533
1898,4.7797784e+07,1.221146,3.830991e+08,9.787481,0.12476611
1899,6.215024e+07,1.5176383,3.972192e+08,9.699642,0.15646333
1900,5.140185e+07,1.18184,4.638336e+08,10.66454,0.110819586
1901,5.8441376e+07,1.3450776,4.758588e+08,10.952292,0.12281243
1902,6.184112e+07,1.3753561,4.693158e+08,10.437656,0.13176867
