year,us_to_uk_gdp_ratio
1650,0.6203319502074689
1720,0.651560073664825
1775,0.8355785837651123
1800,0.761438229135507
1801,0.773431662190391
1802,0.7843690476190476
1803,0.7965817958179582
1804,0.8077131086142322
1805,0.789720227069017
1806,0.8186068451475509
1807,0.7868437463810075
1808,0.7772935384615385
1809,0.8015088848594741
1810,0.7836319723979299
1811,0.8185907271121577
1812,0.8518553164951669
1813,0.8301545673076922
1814,0.8787340823970037
1815,0.8036381771281169
1816,0.8279263692307691
1817,0.8263724869351368
1818,0.8418049671977507
1819,0.86714814695456
1820,0.8088469449485782
1821,0.8207942261185006
1822,0.8419419607843137
1823,0.8217275974992557
1824,0.8121516895761741
1825,0.8229884691848907
1826,0.887024924012158
1827,0.837348470991712
1828,0.8465421265530194
1829,0.8229632297415045
1830,0.8561009577464788
1831,0.9098928913963328
1832,0.9254042081949059
1833,0.9612530147263129
1834,0.9054666117065128
1835,0.8857021497021497
1836,0.8813397256794513
1837,0.8712881254861291
1838,0.8401978299268231
1839,0.8996881473846946
1840,0.8261371826779492
1841,0.8352768361581921
1842,0.8463758665966387
1843,0.8289678481012658
1844,0.8134562073027091
1845,0.7991409391383633
1846,0.813659667743424
1847,0.8547387812942844
1848,0.8513672781472139
1849,0.8178183627317955
1850,0.8383702677746999
1851,0.8439531829350011
1852,0.8584562256809338
1853,0.8961723700887199
1854,0.8665818496638826
1855,0.8764716301600673
1856,0.8473214841412328
1857,0.8281220761107789
1858,0.8561005533920886
1859,0.8524670443251838
1860,0.8654924302005506
1861,0.858260808121019
1862,0.9334363140218304
1863,0.9164722168441433
1864,0.9303780589914368
1865,0.8695216576036001
1866,0.8438592918730509
1867,0.8760283185840707
1868,0.8544814407381122
1869,0.8772195208518189
1870,0.823983787956768
1871,0.8484915646023806
1872,0.8653120124804992
1873,0.8758452584731257
1874,0.8452480932924753
1875,0.8580029747899159
1876,0.8504272482317279
1877,0.860828887388148
1878,0.884328338152747
1879,0.9878634635326651
1880,1.0431431549107888
1881,1.0278943215099252
1882,1.046075243260488
1883,1.047115469348659
1884,1.0487354180064308
1885,1.0476423679060665
1886,1.0488995786061588
1887,1.0407334696445423
1888,0.979086408504176
1889,0.9752311663758
1890,0.9736377355734113
1891,1.0044402005603894
1892,1.1176656493209218
1893,1.0536924915201973
1894,0.9502668661509268
1895,1.023371397941681
1896,0.9548847593953682
1897,1.0245320237930557
1898,0.9902548
1899,1.0297773838788977
1900,1.0584107584935474
1901,1.1668923629590207
1902,1.1374234446627374
1903,1.1950478481689388
1904,1.1621271629778671
1905,1.1997016966986715
1906,1.2824611924955023
1907,1.2667783577339273
1908,1.2030526739043024
1909,1.296561863173217
1910,1.2486114278310443
1911,1.2364605029210058
1912,1.2542830022630123
1913,1.23087798343887
1914,1.1187273398106012
1915,1.0607914110429448
1916,1.1747092622385658
1917,1.127418118869013
1918,1.2133610660486676
1919,1.3740670611439842
1920,1.4469042325780248
1921,1.4244524440518256
1922,1.3543113245839535
1923,1.4592385659681033
1924,1.4184998725140234
1925,1.3598941334309063
1926,1.480397559735638
1927,1.3612366619452314
1928,1.341031619627591
1929,1.3627718878248976
1930,1.2331352473192667
1931,1.212571916971917
1932,1.021265415549598
1933,0.9568689335394126
1934,0.9695818324197338
1935,1.0472564906966682
1936,1.09854604989605
1937,1.1396528100090808
1938,1.0538780536643972
1939,1.1191592867160889
1940,1.0985628660322109
1941,1.1364582424953882
1942,1.2212435118265441
1943,1.3002444912508102
1944,1.4402548504617472
1945,1.4650620609940428
1946,1.3787058878243885
1947,1.3595085969411989
1948,1.370243838928671
1949,1.2803636363636364
1950,1.3778139408733387
1951,1.4202043332746168
1952,1.4548349995576395
1953,1.444786062003587
1954,1.3595718402634829
1955,1.3850570129973687
1956,1.3764538333728935
1957,1.3620784098912277
1958,1.3345408725783587
1959,1.3628749809654332
1960,1.310377358490566
1961,1.2873636492421023
1962,1.3428632085485812
1963,1.3381334430501268
1964,1.3349944265949774
1965,1.3760051463493084
1966,1.4297772418607604
1967,1.4260207266824823
1968,1.427770746700416
1969,1.4384661117717004
1970,1.3959911432234005
1971,1.3987385321100918
1972,1.4117320297744695
1973,1.3878338898163607
1974,1.3905729249325505
1975,1.3744969286168185
1976,1.4011703174356585
1977,1.4184903748733535
1978,1.432218309859155
1979,1.4269582618639223
1980,1.436590335726761
1981,1.4792066538707613
1982,1.4145278450363197
1983,1.4114948984367688
1984,1.466733732680964
1985,1.462553700341025
1986,1.4405481317558941
1987,1.4154711444408217
1988,1.3965886522060829
1989,1.4048310655863019
1990,1.4121195921951966
1991,1.4137692775756094
1992,1.4439717495639621
1993,1.4331111190556487
1994,1.4226823874862922
1995,1.413815765033937
1996,1.4193733490941776
1997,1.4259400725173312
1998,1.4320645893916644
1999,1.441066667114954
2000,1.4363744085064447
2001,1.4046965256837776
2002,1.3905767733752512
2003,1.3775826463482312
2004,1.390839958262801
2005,1.3938716231152781
2006,1.3942056222899
2007,1.3825731035577464
2008,1.3863514996226367
2009,1.4084188991685453
2010,1.4175704520105945
2011,1.4204626690686568
2012,1.4310790258894939
2013,1.430454176827285
2014,1.4182360920281716
2015,1.423353249206556
2016,1.4178100035681316
2017,1.414493017933526
2018,1.43276685458576
2019,1.4437462112990025
2020,1.5693318589056005
2021,1.549043782397582
2022,1.5228521035355185
