year,ratio
1816,0.015043481682603391
1817,0.012101206522023608
1818,0.01027770955438788
1819,0.016797704824686274
1820,0.013796674611281352
1821,0.01247612179205291
1822,0.00924692019282271
1823,0.010524379024839008
1824,0.010117786764233907
1825,0.010534948271511482
1826,0.011636618853357896
1827,0.011767515501030452
1828,0.012169328408854513
1829,0.014233084428711587
1830,0.017029796254858086
1831,0.015114755325920104
1832,0.016814224692197406
1833,0.02697081704138156
1834,0.024840008738108384
1835,0.02882122486604828
1836,0.03958598065579027
1837,0.05683639277389276
1838,0.04196762471593164
1839,0.02469217140350979
1840,0.03597664634262161
1841,0.034413803877626874
1842,0.03473375784422295
1843,0.017133648921699867
1844,0.027518427518427514
1845,0.03512786117361722
1846,0.14797710656447988
1847,0.15212195225254477
1848,0.15711007396151522
1849,0.03357121524894733
1850,0.03872675224600759
1851,0.03417088349909846
1852,0.043577022114064494
1853,0.04967331340339631
1854,0.006778181226949062
1855,0.012749977528239514
1856,0.012862316232695653
1857,0.03945648412020379
1858,0.037105220152297405
1859,0.02133916988381715
1860,0.022780941221184296
1861,2.5155935148950075
1862,12.801215096570067
1863,16.582182004628407
1864,25.600663239090757
1865,5.216816806079535
1866,0.2303611262944852
1867,0.3113118420193306
1868,0.17486843101620478
1869,0.14369382449043622
1870,0.12823646147074563
1871,0.12723920057599325
1872,0.11865399663907673
1873,0.12277340769697119
1874,0.10981967743483448
1875,0.08615963211524062
1876,0.08096940091583395
1877,0.049065802177899714
1878,0.060474507018649884
1879,0.061246030749633314
1880,0.08154230486939153
1881,0.08241610738255034
1882,0.08349233586456825
1883,0.07245898604557087
1884,0.06871002920409597
1885,0.03905859590752479
1886,0.05194876176839642
1887,0.055438253167164483
1888,0.06657997809973047
1889,0.0645495311863025
1890,0.07008227618297226
1891,0.06963444340186817
1892,0.06651226820620627
1893,0.07545354515196637
1894,0.06709191497110438
1895,0.05775263484275148
1896,0.06195973865108406
1897,0.1185743559288648
1898,1.10444487993742
1899,0.18345486084781457
1900,0.08974429087900039
1901,0.06636382790575726
1902,0.0965183774901087
1903,0.16813470227062094
1904,0.21581648936769127
1905,0.22232012669723578
1906,0.23594593591717836
1907,0.3230365342539286
1908,0.3710625718595963
1909,0.3703629728304765
1910,0.3399692670289704
1911,0.33750215424350954
1912,0.25395026114674757
1913,0.26973062766053574
1914,0.04706072884002253
1915,0.0022156607540356685
1917,0.012596606220796436
1918,0.5938769113218011
1919,13.246383044173504
1920,0.6462710404345291
1921,1.1693066733593431
1922,1.150446083228058
1923,0.850901075762191
1924,0.7557895224852812
1925,0.7486422733654529
1926,0.7183501059126999
1927,0.7737170898932538
1928,0.9499013197751062
1929,1.0290947144175346
1930,1.0989825616752351
1931,1.132727086952079
1932,1.5180957042716499
1933,1.3215693214088844
1934,1.1551373747654459
1935,0.9794409874572456
1936,0.905145246364018
1937,0.7392054863616829
1938,0.5214631728986778
1939,0.10521733001790437
1940,0.07478899121612068
1941,0.43737499990220063
1942,2.195935630485044
1943,10.233247419596047
1944,12.509338477104317
1945,12.607634045859967
1946,3.7520665051897373
1947,2.6149626383151294
1948,5.441326999818904
1949,9.027166473156425
1950,12.983464529494652
1951,40.851078284411976
1952,45.96471810419715
1953,44.50034598934152
1954,38.185639523578814
1955,33.68637592208139
1956,34.01963523405793
1957,40.4798838209125
1958,39.980577957840275
1959,43.13936976028243
1960,43.51813083944329
1961,48.46362333299961
1962,60.78263273334765
1963,59.88480864805441
1964,56.56219067755805
1965,55.61400779534935
1966,81.4402436262806
1967,94.51320163586173
1968,124.5768214241744
1969,131.61927907315135
1970,104.42926347047245
1971,80.30031808131206
1972,59.80128344668008
1973,53.258609262068475
1974,52.77175796913769
1975,47.78131190734181
1976,50.592431173373974
1977,53.65128127408062
1978,48.110243663275845
1979,40.01236070643039
1980,33.42731078700046
1981,40.742663054743915
1982,52.57446944058255
1983,57.71650687704096
1984,67.29586650704427
1985,68.06126292868808
1986,66.55432232768054
1987,59.93572747775065
1988,61.35637557018003
1989,66.42603576478349
1990,53.241518995023675
1991,45.49438963040996
1992,44.412352481598745
1993,58.42623505600134
1994,55.09777076394547
1995,57.82558143419021
1996,55.850748275613405
1997,54.268473392030856
1998,50.85935507426656
1999,54.90498628696667
2000,54.78124690760247
2001,60.2069831557914
2002,61.533179518103864
2003,62.63475552893297
2004,63.10850131932165
2005,62.26460497980032
2006,62.04000602278909
2007,68.87504227265752
2008,83.86962383791507
2009,107.76448267406268
2010,108.35035543735108
2011,100.64252023494757
2012,96.44860451583786
2013,96.39061197890535
2014,82.97424334575577
2015,95.74430625500122
2016,102.58433341239422
