year,usa_trade,usa_share,uk_trade,uk_share,us_uk_trade_ratio
1827,3.20108e+07,10.720398,9.6e+07,32.150345,0.33344582
1828,2.8000198e+07,10.222137,9.41e+07,34.35344,0.29755792
1829,2.65353e+07,10.806536,8.99e+07,36.611893,0.29516461
1830,2.709e+07,10.988153,9.52e+07,38.6147,0.2845588
1831,2.918244e+07,11.060975,9.92e+07,37.59962,0.29417783
1832,3.319554e+07,11.005081,8.9e+07,29.505535,0.3729836
1833,3.204526e+07,10.03695,9.86e+07,30.882671,0.32500264
1834,4.39824e+07,12.324471,1.063e+08,29.786715,0.41375732
1835,4.575578e+07,12.537297,1.154e+08,31.620138,0.39649722
1836,5.518009e+07,13.098584,1.377e+08,32.68706,0.40072688
1837,4.35342e+07,10.93706,1.122e+08,28.18791,0.38800538
1838,4.05306e+07,9.265993,1.302e+08,29.765965,0.3112949
1839,5.25572e+07,10.863861,1.44e+08,29.76559,0.36498052
1840,4.32e+07,8.928089,1.426e+08,29.470959,0.30294532
1841,4.6292404e+07,9.9979515,1.355e+08,29.264465,0.34164137
1842,3.98235e+07,9.101693,1.238e+08,28.29459,0.3216761
1843,2.61125e+07,6.180298,1.233e+08,29.182604,0.2117802
1844,4.26006e+07,8.90952,1.375e+08,28.756851,0.30982253
1845,4.39342e+07,8.699031,1.485e+08,29.4032,0.2958532
1846,4.6294804e+07,9.131746,1.451e+08,28.621277,0.31905445
1847,5.75736e+07,10.211471,1.709e+08,30.311468,0.33688474
1848,5.7922796e+07,12.27464,1.41e+08,29.879847,0.41079998
1849,5.7325196e+07,10.837098,1.65e+08,31.192589,0.3474254
1850,6.40536e+07,11.034097,1.744e+08,30.042753,0.3672798
1851,7.9772e+07,12.539968,1.839e+08,28.90864,0.43377924
1852,7.4256e+07,10.93126,1.881e+08,27.690289,0.39476874
1853,9.32976e+07,11.109534,2.474e+08,29.45948,0.37711236
1854,1.058816e+08,11.954993,2.496e+08,28.182104,0.42420512
1855,9.293381e+07,10.542374,2.392e+08,27.134752,0.38851926
1856,1.179423e+08,11.143331,2.883e+08,27.238932,0.40909573
1857,1.089985e+08,9.8964405,3.099e+08,28.137148,0.35172153
1858,1.074276e+08,10.06878,2.812e+08,26.355806,0.3820327
1859,1.253174e+08,10.915363,3.096e+08,26.9667,0.40477195
1860,1.393912e+08,11.073149,3.462e+08,27.501907,0.40263203
1861,1.04331e+08,7.9580436,3.426e+08,26.132458,0.30452716
1862,6.69228e+07,5.1349564,3.497e+08,26.832325,0.19137202
1863,6.1182904e+07,4.2588315,3.955e+08,27.53004,0.15469761
1864,4.63386e+07,2.9650466,4.354e+08,27.85974,0.106427655
1865,4.9270004e+07,3.063853,4.369e+08,27.168608,0.11277181
1866,1.128304e+08,6.357018,4.842e+08,27.280485,0.23302437
1867,1.008561e+08,5.973854,4.562e+08,27.021393,0.2210787
1868,9.244149e+07,5.206974,4.744e+08,26.721645,0.19485979
1869,1.0778579e+08,5.8874564,4.855e+08,26.518896,0.22200987
1870,1.48033e+08,7.802804,5.029e+08,26.50781,0.29435867
1871,1.762384e+08,8.124263,5.541e+08,25.542978,0.31806248
1872,1.94722e+08,8.115469,6.11e+08,25.464773,0.31869394
1873,2.09148e+08,8.446805,6.265e+08,25.302288,0.33383563
1874,2.112525e+08,8.453878,6.097e+08,24.398903,0.346486
1875,1.858771e+08,7.589971,5.974e+08,24.393799,0.31114346
1876,1.8347798e+08,7.537055,5.758e+08,23.653173,0.3186488
1877,2.08032e+08,8.320868,5.933e+08,23.730822,0.35063547
1878,2.31903e+08,9.130057,5.616e+08,22.11028,0.4129327
1879,2.3875398e+08,9.249858,5.545e+08,21.482557,0.43057528
1880,3.104256e+08,10.772098,6.343e+08,22.010885,0.48939866
1881,3.18366e+08,10.805851,6.31e+08,21.417149,0.504542
1882,3.009698e+08,9.874248,6.545e+08,21.4729,0.45984694
1883,3.171356e+08,10.1536665,6.667e+08,21.345598,0.47567964
1884,2.9004797e+08,9.670678,6.23e+08,20.771847,0.4655666
1885,2.721998e+08,9.40598,5.841e+08,20.183823,0.4660158
1886,2.7131827e+08,9.472764,5.626e+08,19.642529,0.48225787
1887,2.910132e+08,9.76809,5.841e+08,19.605783,0.49822494
1888,2.921419e+08,9.376268,6.221e+08,19.966244,0.469606
1889,3.066622e+08,9.023242,6.765e+08,19.905367,0.453307
1890,3.4043347e+08,9.713498,6.842e+08,19.522099,0.49756423
1891,3.5688947e+08,10.050918,6.826e+08,19.223755,0.5228384
1892,3.822876e+08,11.197964,6.51e+08,19.069084,0.58723134
1893,3.53632e+08,10.591404,6.228e+08,18.653082,0.5678099
1894,3.15085e+08,9.645807,6.243e+08,19.111916,0.50470126
1895,3.16107e+08,9.392756,6.428e+08,19.100063,0.49176574
1896,3.432616e+08,9.565914,6.819e+08,19.00299,0.50338995
1897,3.758368e+08,10.039265,6.852e+08,18.302902,0.54850674
1898,3.830991e+08,9.787481,7.039e+08,17.983358,0.54425216
1899,3.972192e+08,9.699642,7.495e+08,18.30194,0.5299789
1900,4.638336e+08,10.66454,8.1429997e+08,18.722523,0.56961024
1901,4.758588e+08,10.952292,8.02e+08,18.458708,0.59334016
1902,4.693158e+08,10.437656,8.1180006e+08,18.054558,0.57811755
1903,5.020752e+08,10.477012,8.334e+08,17.390903,0.6024421
1904,5.040516e+08,10.302179,8.517e+08,17.407675,0.5918182
1905,5.421672e+08,10.11185,8.948e+08,16.688732,0.6059088
1906,6.160329e+08,10.464197,9.835e+08,16.70615,0.626368
1907,6.816096e+08,10.760134,1.0718e+09,16.91982,0.6359484
1908,6.294465e+08,10.508076,9.701e+08,16.194996,0.6488471
1909,6.082128e+08,9.537137,1.00290003e+09,15.726068,0.606454
1910,6.788912e+08,9.784106,1.1086999e+09,15.978463,0.61233085
1911,7.378459e+08,10.011471,1.1343e+09,15.390762,0.6504857
1912,7.95285e+08,9.734843,1.2318e+09,15.078092,0.64562833
1913,8.797281e+08,10.275464,1.2939e+09,15.113105,0.6799042
1914,8.627112e+08,13.154146,1.1273e+09,17.18845,0.76528984
1915,9.2887386e+08,14.896822,1.2368e+09,19.83519,0.75102997
1916,1.6463007e+09,19.692617,1.4548e+09,17.401937,1.1316336
1917,1.9258324e+09,20.58504,1.5912998e+09,17.009253,1.2102259
1918,1.920585e+09,19.653679,1.8176e+09,18.599815,1.0566599
1919,2.652744e+09,18.889933,2.4248e+09,17.266766,1.0940052
1920,3.6694134e+09,20.003872,3.2671e+09,17.810654,1.1231408
1921,1.8058698e+09,16.336554,1.7889001e+09,16.183039,1.0094862
1922,1.5690842e+09,16.217043,1.7226e+09,17.803682,0.9108814
1923,1.7394002e+09,16.435497,1.8634999e+09,17.608109,0.93340504
1924,1.8524047e+09,15.277047,2.0784e+09,17.140863,0.89126474
1925,1.8868882e+09,14.121346,2.0941e+09,15.672106,0.90104973
1926,1.8960353e+09,15.0123625,1.8944e+09,14.9994135,1.0008633
1927,1.8510943e+09,13.861805,1.9274e+09,14.433215,0.96041006
1928,1.8883395e+09,13.731043,1.9192e+09,13.955445,0.9839201
1929,1.980758e+09,14.32728,1.9501e+09,14.105524,1.0157212
1930,1.4162445e+09,12.595767,1.6148e+09,14.361676,0.87704015
1931,9.9158854e+08,10.979718,1.2518999e+09,13.862107,0.79206705
1932,8.322136e+08,10.653018,1.0667e+09,13.654635,0.7801759
1933,7.45052e+08,10.085622,1.0429e+09,14.11753,0.71440417
1934,7.65813e+08,9.805899,1.1274e+09,14.435861,0.67927355
1935,9.4758e+08,11.384097,1.1818e+09,14.197983,0.80181086
1936,1.0108288e+09,11.427752,1.2884e+09,14.565785,0.7845613
1937,1.3098925e+09,12.068733,1.5492001e+09,14.273601,0.8455283
1938,1.07321606e+09,11.455009,1.3903e+09,14.8394165,0.77193123
1939,1.246113e+09,13.155974,1.3250001e+09,13.988833,0.9404626
1940,1.7279598e+09,16.201082,1.5933e+09,14.938532,1.0845164
1941,2.086176e+09,18.081526,1.5105001e+09,13.091967,1.3811162
1942,2.9240402e+09,24.94016,1.5973e+09,13.623929,1.8306144
1943,4.0269978e+09,29.690817,2.2235999e+09,16.39447,1.8110263
1944,4.488649e+09,36.100887,2.6905e+09,21.638903,1.6683326
1945,3.4165847e+09,30.326307,1.9524e+09,17.329903,1.749941
1946,3.596e+09,23.330156,2.2157e+09,14.375035,1.6229634
1947,4.982863e+09,21.72865,2.9327e+09,12.788553,1.6990701
1948,5.1317576e+09,17.407938,3.5929782e+09,12.188094,1.428274
1949,5.1321887e+09,16.48348,3.9719327e+09,12.756989,1.2921138
1950,6.9185746e+09,16.460503,4.681609e+09,11.13837,1.4778198
1951,9.488375e+09,16.091375,6.2931814e+09,10.672632,1.5077232
1952,9.350005e+09,16.118765,5.926788e+09,10.217376,1.5775837
1953,9.573576e+09,16.524626,5.8078956e+09,10.024812,1.6483727
1954,9.062147e+09,15.090164,5.7952527e+09,9.650176,1.563719
1955,9.741076e+09,14.296471,6.4810383e+09,9.511883,1.5030117
1956,1.1506434e+10,15.038464,6.7657175e+09,8.842531,1.7006967
1957,1.2317147e+10,14.785542,7.124539e+09,8.552319,1.7288343
1958,1.1547433e+10,14.464435,6.978432e+09,8.741257,1.6547318
1959,1.2267506e+10,14.225897,7.380003e+09,8.558151,1.6622628
1960,1.3107756e+10,13.421374,8.178575e+09,8.374257,1.6026943
