Entity,Year,GDP per capita
United Kingdom,1850,4332.0
United Kingdom,1851,4477.0
United Kingdom,1852,4626.0
United Kingdom,1853,4734.0
United Kingdom,1854,4909.0
United Kingdom,1855,4748.0
United Kingdom,1856,5013.0
United Kingdom,1857,5019.0
United Kingdom,1858,4879.0
United Kingdom,1859,5031.0
United Kingdom,1860,5086.0
United Kingdom,1861,5024.0
United Kingdom,1862,4764.0
United Kingdom,1863,5165.0
United Kingdom,1864,5255.0
United Kingdom,1865,5333.0
United Kingdom,1866,5451.0
United Kingdom,1867,5424.0
United Kingdom,1868,5636.0
United Kingdom,1869,5635.0
United Kingdom,1870,5829.0
United Kingdom,1871,5797.0
United Kingdom,1872,5769.0
United Kingdom,1873,5842.0
United Kingdom,1874,5874.0
United Kingdom,1875,5950.0
United Kingdom,1876,5938.0
United Kingdom,1877,5923.0
United Kingdom,1878,5879.0
United Kingdom,1879,5786.0
United Kingdom,1880,5997.0
United Kingdom,1881,6146.0
United Kingdom,1882,6269.0
United Kingdom,1883,6264.0
United Kingdom,1884,6220.0
United Kingdom,1885,6132.0
United Kingdom,1886,6170.0
United Kingdom,1887,6358.0
United Kingdom,1888,6585.0
United Kingdom,1889,6876.0
United Kingdom,1890,6845.0
United Kingdom,1891,6781.0
United Kingdom,1892,6553.0
United Kingdom,1893,6486.0
United Kingdom,1894,6851.0
United Kingdom,1895,6996.0
United Kingdom,1896,7211.0
United Kingdom,1897,7229.0
United Kingdom,1898,7500.0
United Kingdom,1899,7729.0
United Kingdom,1900,7594.0
United Kingdom,1901,7516.0
United Kingdom,1902,7635.0
United Kingdom,1903,7482.0
United Kingdom,1904,7455.0
United Kingdom,1905,7603.0
United Kingdom,1906,7782.0
United Kingdom,1907,7855.0
United Kingdom,1908,7461.0
United Kingdom,1909,7557.0
United Kingdom,1910,7718.0
United Kingdom,1911,7874.0
United Kingdom,1912,7954.0
United Kingdom,1913,8212.0
United Kingdom,1914,8131.0
United Kingdom,1915,8639.0
United Kingdom,1916,8702.0
United Kingdom,1917,8665.0
United Kingdom,1918,8630.0
United Kingdom,1919,7605.0
United Kingdom,1920,7017.0
United Kingdom,1921,6792.0
United Kingdom,1922,7391.0
United Kingdom,1923,7587.0
United Kingdom,1924,7844.0
United Kingdom,1925,8199.0
United Kingdom,1926,7868.0
United Kingdom,1927,8472.0
United Kingdom,1928,8539.0
United Kingdom,1929,8772.0
United Kingdom,1930,8673.0
United Kingdom,1931,8190.0
United Kingdom,1932,8206.0
United Kingdom,1933,8411.0
United Kingdom,1934,8939.0
United Kingdom,1935,9244.0
United Kingdom,1936,9620.0
United Kingdom,1937,9911.0
United Kingdom,1938,9988.0
