Entity,Code,Year,GDP per capita,900793-annotations
United Kingdom,GBR,1000,1151.0,
United Kingdom,GBR,1252,1320.0,
United Kingdom,GBR,1253,1328.0,
United Kingdom,GBR,1254,1317.0,
United Kingdom,GBR,1255,1285.0,
United Kingdom,GBR,1256,1255.0,
United Kingdom,GBR,1257,1240.0,
United Kingdom,GBR,1258,1418.0,
United Kingdom,GBR,1259,1191.0,
United Kingdom,GBR,1260,1292.0,
United Kingdom,GBR,1261,1286.0,
United Kingdom,GBR,1262,1219.0,
United Kingdom,GBR,1263,1205.0,
United Kingdom,GBR,1264,1182.0,
United Kingdom,GBR,1265,1185.0,
United Kingdom,GBR,1266,1401.0,
United Kingdom,GBR,1267,1313.0,
United Kingdom,GBR,1268,1211.0,
United Kingdom,GBR,1269,1225.0,
United Kingdom,GBR,1270,1192.0,
United Kingdom,GBR,1271,1177.0,
United Kingdom,GBR,1272,1220.0,
United Kingdom,GBR,1273,1149.0,
United Kingdom,GBR,1274,1143.0,
United Kingdom,GBR,1275,1304.0,
United Kingdom,GBR,1276,1146.0,
United Kingdom,GBR,1277,1222.0,
United Kingdom,GBR,1278,1265.0,
United Kingdom,GBR,1279,1048.0,
United Kingdom,GBR,1280,1058.0,
United Kingdom,GBR,1281,1118.0,
United Kingdom,GBR,1282,1078.0,
United Kingdom,GBR,1283,1019.0,
United Kingdom,GBR,1284,1048.0,
United Kingdom,GBR,1285,1055.0,
United Kingdom,GBR,1286,1034.0,
United Kingdom,GBR,1287,1125.0,
United Kingdom,GBR,1288,1085.0,
United Kingdom,GBR,1289,995.0,
United Kingdom,GBR,1290,1004.0,
United Kingdom,GBR,1291,1006.0,
United Kingdom,GBR,1292,1060.0,
United Kingdom,GBR,1293,1086.0,
United Kingdom,GBR,1294,1078.0,
United Kingdom,GBR,1295,1155.0,
United Kingdom,GBR,1296,1202.0,
United Kingdom,GBR,1297,1151.0,
United Kingdom,GBR,1298,1211.0,
United Kingdom,GBR,1299,1167.0,
United Kingdom,GBR,1300,1159.0,
United Kingdom,GBR,1301,1168.0,
United Kingdom,GBR,1302,1199.0,
United Kingdom,GBR,1303,1249.0,
United Kingdom,GBR,1304,1130.0,
United Kingdom,GBR,1305,1162.0,
United Kingdom,GBR,1306,1129.0,
United Kingdom,GBR,1307,1184.0,
United Kingdom,GBR,1308,1199.0,
United Kingdom,GBR,1309,1229.0,
United Kingdom,GBR,1310,1213.0,
United Kingdom,GBR,1311,1257.0,
United Kingdom,GBR,1312,1224.0,
United Kingdom,GBR,1313,1246.0,
United Kingdom,GBR,1314,1247.0,
United Kingdom,GBR,1315,1121.0,
United Kingdom,GBR,1316,1072.0,
United Kingdom,GBR,1317,1136.0,
United Kingdom,GBR,1318,1270.0,
