Year,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops,Net,Straw,Mustard,Saffron,source,country,currency,period,avg_grain_price,avg_legume_price,grain_price_volatility,grain_price_trend,Rye_relative_to_wheat,Barley_relative_to_wheat,Oats_relative_to_wheat,century,period_classification
1209,0.29,0.21,0.1,0.22,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.205,,,,0.7241379310344828,0.3448275862068966,0.7586206896551725,1200,High_Medieval
1210,,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,,,,,,,,1200,High_Medieval
1211,0.36,0.24,0.12,0.35,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.26749999999999996,,,,0.6666666666666666,0.3333333333333333,0.9722222222222222,1200,High_Medieval
1212,0.28,0.18,0.11,0.25,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.20500000000000002,,0.0333260408689661,0.292,0.6428571428571428,0.39285714285714285,0.8928571428571428,1200,High_Medieval
1213,,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,,,0.10319479961057472,0.292,,,,1200,High_Medieval
1214,0.24,0.16,0.12,0.2,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.18,,0.10441731748362526,0.28545454545454546,0.6666666666666667,0.5,0.8333333333333334,1200,High_Medieval
1215,,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,,,0.10344080432788601,0.27791666666666665,,,,1200,High_Medieval
1216,0.3,0.18,0.12,0.33,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.23249999999999998,,0.0960282696471647,0.2863461538461538,0.6,0.4,1.1,1200,High_Medieval
1217,0.46,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.46,,0.09742155727265178,0.2975,,,,1200,High_Medieval
1218,0.52,0.38,0.18,0.43,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.3775,,0.09556224598209721,0.3055,0.7307692307692307,0.34615384615384615,0.8269230769230769,1200,High_Medieval
