Year,Month,Month_Name,Price_Index,Date
1732.0,3,Mar,62.0,1732.0-03
1732.0,4,Apr,67.0,1732.0-04
1732.0,5,May,63.0,1732.0-05
1732.0,6,June,60.0,1732.0-06
1732.0,7,July,62.0,1732.0-07
1732.0,8,Aug,62.0,1732.0-08
1732.0,9,Sept,61.0,1732.0-09
1732.0,10,Oct,62.0,1732.0-10
1732.0,11,Nov,60.0,1732.0-11
1732.0,12,Dec,66.0,1732.0-12
1733.0,3,Mar,57.0,1733.0-03
1733.0,4,Apr,58.0,1733.0-04
1733.0,5,May,56.0,1733.0-05
1733.0,6,June,51.0,1733.0-06
1733.0,7,July,58.0,1733.0-07
1733.0,8,Aug,57.0,1733.0-08
1733.0,9,Sept,62.0,1733.0-09
1733.0,10,Oct,62.0,1733.0-10
1733.0,11,Nov,67.0,1733.0-11
1733.0,12,Dec,70.0,1733.0-12
1734.0,1,Jan,80.0,1734.0-01
1734.0,2,Feb,83.0,1734.0-02
1734.0,3,Mar,87.0,1734.0-03
1734.0,4,Apr,85.0,1734.0-04
1734.0,5,May,88.0,1734.0-05
1734.0,6,June,91.0,1734.0-06
1734.0,7,July,90.0,1734.0-07
1734.0,8,Aug,90.0,1734.0-08
1734.0,9,Sept,87.0,1734.0-09
1734.0,10,Oct,83.0,1734.0-10
1734.0,11,Nov,71.0,1734.0-11
1734.0,12,Dec,74.0,1734.0-12
1736.0,3,Mar,74.0,1736.0-03
1736.0,4,Apr,70.0,1736.0-04
1736.0,5,May,64.0,1736.0-05
1736.0,6,June,64.0,1736.0-06
1736.0,7,July,69.0,1736.0-07
1736.0,8,Aug,71.0,1736.0-08
1736.0,9,Sept,78.0,1736.0-09
1736.0,10,Oct,79.0,1736.0-10
1736.0,11,Nov,81.0,1736.0-11
1736.0,12,Dec,82.0,1736.0-12
1737.0,2,Feb,87.0,1737.0-02
1737.0,3,Mar,87.0,1737.0-03
1737.0,4,Apr,87.0,1737.0-04
1737.0,5,May,92.0,1737.0-05
1737.0,6,June,93.0,1737.0-06
1737.0,7,July,93.0,1737.0-07
1737.0,8,Aug,95.0,1737.0-08
1737.0,9,Sept,94.0,1737.0-09
1737.0,10,Oct,93.0,1737.0-10
1737.0,11,Nov,93.0,1737.0-11
1737.0,12,Dec,92.0,1737.0-12
1738.0,1,Jan,94.0,1738.0-01
1738.0,2,Feb,94.0,1738.0-02
1738.0,3,Mar,95.0,1738.0-03
1738.0,4,Apr,98.0,1738.0-04
1738.0,5,May,102.0,1738.0-05
1738.0,6,June,102.0,1738.0-06
1739.0,1,Jan,73.0,1739.0-01
1739.0,2,Feb,66.0,1739.0-02
1739.0,3,Mar,65.0,1739.0-03
1739.0,4,Apr,61.0,1739.0-04
1739.0,5,May,63.0,1739.0-05
1739.0,6,June,66.0,1739.0-06
1739.0,7,July,71.0,1739.0-07
1739.0,8,Aug,66.0,1739.0-08
1739.0,9,Sept,63.0,1739.0-09
1739.0,10,Oct,63.0,1739.0-10
1739.0,11,Nov,63.0,1739.0-11
1739.0,12,Dec,63.0,1739.0-12
1740.0,3,Mar,57.0,1740.0-03
1740.0,4,Apr,57.0,1740.0-04
1740.0,5,May,57.0,1740.0-05
1740.0,6,June,53.0,1740.0-06
1740.0,7,July,49.0,1740.0-07
1740.0,8,Aug,49.0,1740.0-08
1740.0,9,Sept,58.0,1740.0-09
1740.0,10,Oct,63.0,1740.0-10
1740.0,11,Nov,69.0,1740.0-11
1740.0,12,Dec,67.0,1740.0-12
1742.0,3,Mar,73.0,1742.0-03
1742.0,4,Apr,75.0,1742.0-04
1742.0,5,May,71.0,1742.0-05
1742.0,6,June,69.0,1742.0-06
1742.0,7,July,73.0,1742.0-07
1742.0,8,Aug,68.0,1742.0-08
1742.0,9,Sept,66.0,1742.0-09
