Entity,Year,GDP per capita
United Kingdom,1000,1151.0
United Kingdom,1252,1320.0
United Kingdom,1253,1328.0
United Kingdom,1254,1317.0
United Kingdom,1255,1285.0
United Kingdom,1256,1255.0
United Kingdom,1257,1240.0
United Kingdom,1258,1418.0
United Kingdom,1259,1191.0
United Kingdom,1260,1292.0
United Kingdom,1261,1286.0
United Kingdom,1262,1219.0
United Kingdom,1263,1205.0
United Kingdom,1264,1182.0
United Kingdom,1265,1185.0
United Kingdom,1266,1401.0
United Kingdom,1267,1313.0
United Kingdom,1268,1211.0
United Kingdom,1269,1225.0
United Kingdom,1270,1192.0
United Kingdom,1271,1177.0
United Kingdom,1272,1220.0
United Kingdom,1273,1149.0
United Kingdom,1274,1143.0
United Kingdom,1275,1304.0
United Kingdom,1276,1146.0
United Kingdom,1277,1222.0
United Kingdom,1278,1265.0
United Kingdom,1279,1048.0
United Kingdom,1280,1058.0
United Kingdom,1281,1118.0
United Kingdom,1282,1078.0
United Kingdom,1283,1019.0
United Kingdom,1284,1048.0
United Kingdom,1285,1055.0
United Kingdom,1286,1034.0
United Kingdom,1287,1125.0
United Kingdom,1288,1085.0
United Kingdom,1289,995.0
United Kingdom,1290,1004.0
United Kingdom,1291,1006.0
United Kingdom,1292,1060.0
United Kingdom,1293,1086.0
United Kingdom,1294,1078.0
United Kingdom,1295,1155.0
United Kingdom,1296,1202.0
United Kingdom,1297,1151.0
United Kingdom,1298,1211.0
United Kingdom,1299,1167.0
United Kingdom,1300,1159.0
United Kingdom,1301,1168.0
United Kingdom,1302,1199.0
United Kingdom,1303,1249.0
United Kingdom,1304,1130.0
United Kingdom,1305,1162.0
United Kingdom,1306,1129.0
United Kingdom,1307,1184.0
United Kingdom,1308,1199.0
United Kingdom,1309,1229.0
United Kingdom,1310,1213.0
United Kingdom,1311,1257.0
United Kingdom,1312,1224.0
United Kingdom,1313,1246.0
United Kingdom,1314,1247.0
United Kingdom,1315,1121.0
United Kingdom,1316,1072.0
United Kingdom,1317,1136.0
United Kingdom,1318,1270.0
United Kingdom,1319,1292.0
United Kingdom,1320,1266.0
United Kingdom,1321,1085.0
United Kingdom,1322,1156.0
United Kingdom,1323,1215.0
United Kingdom,1324,1122.0
United Kingdom,1325,1230.0
United Kingdom,1326,1245.0
United Kingdom,1327,1222.0
United Kingdom,1328,1135.0
United Kingdom,1329,1193.0
United Kingdom,1330,1161.0
United Kingdom,1331,1106.0
United Kingdom,1332,1163.0
United Kingdom,1333,1197.0
United Kingdom,1334,1156.0
United Kingdom,1335,1107.0
United Kingdom,1336,1159.0
United Kingdom,1337,1283.0
United Kingdom,1338,1307.0
United Kingdom,1339,1066.0
United Kingdom,1340,1194.0
United Kingdom,1341,1205.0
United Kingdom,1342,1261.0
United Kingdom,1343,1225.0
United Kingdom,1344,1307.0
United Kingdom,1345,1216.0
United Kingdom,1346,1155.0
United Kingdom,1347,1199.0
United Kingdom,1348,1229.0
United Kingdom,1349,1154.0
United Kingdom,1350,1314.0
United Kingdom,1351,1519.0
United Kingdom,1352,1574.0
United Kingdom,1353,1579.0
United Kingdom,1354,1512.0
United Kingdom,1355,1559.0
United Kingdom,1356,1537.0
United Kingdom,1357,1567.0
United Kingdom,1358,1575.0
United Kingdom,1359,1592.0
United Kingdom,1360,1581.0
United Kingdom,1361,1526.0
United Kingdom,1362,1486.0
United Kingdom,1363,1443.0
United Kingdom,1364,1603.0
United Kingdom,1365,1531.0
United Kingdom,1366,1578.0
United Kingdom,1367,1481.0
United Kingdom,1368,1471.0
United Kingdom,1369,1373.0
United Kingdom,1370,1539.0
United Kingdom,1371,1489.0
United Kingdom,1372,1347.0
United Kingdom,1373,1458.0
United Kingdom,1374,1341.0
United Kingdom,1375,1294.0
United Kingdom,1376,1495.0
United Kingdom,1377,1539.0
United Kingdom,1378,1523.0
United Kingdom,1379,1398.0
United Kingdom,1380,1462.0
United Kingdom,1381,1500.0
